acc,pctl
100,0
99.68,40.10685
99.67,40.10709
99.66,40.10759
99.65,40.10784
99.64,40.10834
99.63,40.10909
99.62,40.11058
99.61,40.11332
99.6,40.11706
99.59,40.12379
99.58,40.13475
99.57,40.14422
99.56,40.16067
99.55,40.1816
99.54,40.20103
99.53,40.22271
99.52,40.25959
99.51,40.29871
99.5,40.3478
99.49,40.40261
99.48,40.47637
99.47,40.5571
99.46,40.66101
99.45,40.74822
99.44,40.85337
99.43,41.00561
99.42,41.12397
99.41,41.26998
99.4,41.37887
99.39,41.55628
99.38,41.75637
99.37,41.96343
99.36,42.12539
99.35,42.29234
99.34,42.55272
99.33,42.7244
99.32,42.91403
99.31,43.21353
99.3,43.42159
99.29,43.65033
99.28,43.86138
99.27,44.09486
99.26,44.21346
99.25,44.4564
99.24,44.69785
99.23,44.97543
99.22,45.11297
99.21,45.40202
99.2,45.68159
99.19,45.82511
99.18,46.08724
99.17,46.22304
99.16,46.48916
99.15,46.62471
99.14,46.90752
99.13,47.0483
99.12,47.18958
99.11,47.48485
99.1,47.61567
99.09,47.76517
99.08,47.92065
99.07,48.07365
99.06,48.37963
99.05,48.53113
99.04,48.68586
99.03,48.83711
99.02,48.98661
99.01,49.1421
99,49.29708
98.99,49.44285
98.98,49.58662
98.97,49.7446
98.96,49.9083
98.95,50.08048
98.94,50.25465
98.93,50.41537
98.92,50.43879
98.91,50.60923
98.9,50.77169
98.89,50.94561
98.88,51.09387
98.87,51.27801
98.86,51.31613
98.85,51.51024
98.84,51.66248
98.83,51.85584
98.82,51.90468
98.81,52.09878
98.8,52.25626
98.79,52.47528
98.78,52.53633
98.77,52.70427
98.76,52.92479
98.75,52.99281
98.74,53.15951
98.73,53.23825
98.72,53.47621
98.71,53.6601
98.7,53.75055
98.69,53.93095
98.68,54.01691
98.67,54.2758
98.66,54.4577
98.65,54.5494
98.64,54.73179
98.63,54.83594
98.62,55.00962
98.61,55.12997
98.6,55.29941
98.59,55.42623
98.58,55.61162
98.57,55.74094
98.56,55.91985
98.55,56.06113
98.54,56.23953
98.53,56.3858
98.52,56.57467
98.51,56.70798
98.5,56.93124
98.49,57.08124
98.48,57.10516
98.47,57.32443
98.46,57.48266
98.45,57.69246
98.44,57.86663
98.43,58.07195
98.42,58.2242
98.41,58.25908
98.4,58.44945
98.39,58.63109
98.38,58.81947
98.37,58.8561
98.36,59.02105
98.35,59.2311
98.34,59.39107
98.33,59.43019
98.32,59.6527
98.31,59.81741
98.3,60.07505
98.29,60.12264
98.28,60.28685
98.27,60.50986
98.26,60.56592
98.25,60.74881
98.24,60.97058
98.23,61.02365
98.22,61.144
98.21,61.20281
98.2,61.41834
98.19,61.59824
98.18,61.65555
98.17,61.87333
98.16,62.05373
98.15,62.11279
98.14,62.34477
98.13,62.42126
98.12,62.61811
98.11,62.62633
98.1,62.8461
98.09,63.05566
98.08,63.12243
98.07,63.36637
98.06,63.3741
98.05,63.57917
98.04,63.65616
98.03,63.88964
98.02,63.9619
98.01,64.09296
98,64.17369
97.99,64.39446
97.98,64.48491
97.97,64.61323
97.96,64.7002
97.95,64.92894
97.94,65.01939
97.93,65.14322
97.92,65.23442
97.91,65.4507
97.9,65.4654
97.89,65.54738
97.88,65.76217
97.87,65.77861
97.86,66.01309
97.85,66.10752
97.84,66.23535
97.83,66.33552
97.82,66.56127
97.81,66.56326
97.8,66.66941
97.79,66.79549
97.78,66.89989
97.77,67.13885
97.76,67.15779
97.75,67.24475
97.74,67.36884
97.73,67.48844
97.72,67.7244
97.71,67.72839
97.7,67.83952
97.69,67.9676
97.68,68.08296
97.67,68.08321
97.66,68.3147
97.65,68.43529
97.64,68.56038
97.63,68.65307
97.62,68.68995
97.61,68.93364
97.6,68.94062
97.59,69.0667
97.58,69.19627
97.57,69.32534
97.56,69.33132
97.55,69.55807
97.54,69.59793
97.53,69.69735
97.52,69.81098
97.51,69.93706
97.5,69.94603
97.49,70.17826
97.48,70.18847
97.47,70.30808
97.46,70.43067
97.45,70.53532
97.44,70.57968
97.43,70.81166
97.42,70.81215
97.41,70.86174
97.4,70.9649
97.39,71.09347
97.38,71.23301
97.37,71.24223
97.36,71.46299
97.35,71.46748
97.34,71.6262
97.33,71.63841
97.32,71.75801
97.31,71.8968
97.3,71.91773
97.29,72.14274
97.28,72.14672
97.27,72.20652
97.26,72.31691
97.25,72.42281
97.24,72.53967
97.23,72.61168
97.22,72.61293
97.21,72.85288
97.2,72.87505
97.19,73.02331
97.18,73.04175
97.17,73.1768
97.16,73.27348
97.15,73.34998
97.14,73.35073
97.13,73.59865
97.12,73.62556
97.11,73.77183
97.1,73.79276
97.09,73.90763
97.08,74.01652
97.07,74.096
97.06,74.10348
97.05,74.33147
97.04,74.33272
97.03,74.41519
97.02,74.51013
97.01,74.53106
97,74.66561
96.99,74.75681
96.98,74.84427
96.97,74.85423
96.96,75.08422
96.95,75.08621
96.94,75.1814
96.93,75.27932
96.92,75.31097
96.91,75.42783
96.9,75.54345
96.89,75.59577
96.88,75.63639
96.86,75.86488
96.85,75.90724
96.84,75.96181
96.83,76.09337
96.82,76.20924
96.81,76.23939
96.8,76.32535
96.79,76.39163
96.77,76.43748
96.76,76.66198
96.75,76.67967
96.74,76.76688
96.73,76.85858
96.72,76.89321
96.71,77.00534
96.7,77.03998
96.69,77.13691
96.68,77.24604
96.67,77.25003
96.65,77.47703
96.64,77.49696
96.63,77.59364
96.62,77.6811
96.61,77.72371
96.6,77.84206
96.59,77.88293
96.58,77.97064
96.57,78.06482
96.56,78.08526
96.55,78.086
96.54,78.31001
96.53,78.31175
96.52,78.37255
96.51,78.44431
96.5,78.53302
96.49,78.57687
96.48,78.6895
96.47,78.72987
96.46,78.81832
96.45,78.89283
96.44,78.95263
96.43,78.95437
96.41,79.17614
96.4,79.2023
96.39,79.31318
96.38,79.40936
96.37,79.45072
96.36,79.45795
96.35,79.56958
96.34,79.61867
96.33,79.7126
96.32,79.77041
96.31,79.84043
96.3,79.84267
96.28,80.06867
96.27,80.08138
96.26,80.14866
96.25,80.22515
96.24,80.31112
96.23,80.36145
96.22,80.47532
96.21,80.48629
96.2,80.5274
96.19,80.61785
96.18,80.68214
96.17,80.74567
96.15,80.76062
96.14,80.98488
96.13,80.99036
96.12,81.02525
96.11,81.13364
96.1,81.14385
96.09,81.22334
96.08,81.28164
96.07,81.39303
96.06,81.40374
96.05,81.4471
96.04,81.53032
96.03,81.5951
96.02,81.66562
96.01,81.68306
96,81.68331
95.99,81.9123
95.98,81.91255
95.97,81.93024
95.96,81.99528
95.95,82.0623
95.94,82.15126
95.93,82.15574
95.92,82.21131
95.91,82.31048
95.9,82.32518
95.89,82.37526
95.88,82.45525
95.87,82.5295
95.86,82.5746
95.85,82.60949
95.83,82.61721
95.82,82.83299
95.81,82.83374
95.8,82.85916
95.79,82.93466
95.78,82.99969
95.77,83.01639
95.76,83.10135
95.75,83.15916
95.74,83.16215
95.73,83.2668
95.72,83.33259
95.71,83.33832
95.7,83.42976
95.69,83.4953
95.68,83.53591
95.67,83.58375
95.65,83.59023
95.63,83.80103
95.62,83.82495
95.61,83.8551
95.6,83.8992
95.59,83.97371
95.58,84.05344
95.57,84.1105
95.56,84.13268
95.55,84.23459
95.54,84.23484
95.53,84.30062
95.52,84.30984
95.51,84.38708
95.5,84.46607
95.49,84.51715
95.48,84.54581
95.47,84.57596
95.45,84.57671
95.44,84.80271
95.43,84.80395
95.42,84.81566
95.41,84.8635
95.4,84.91284
95.39,84.98061
95.38,85.00005
95.37,85.08178
95.36,85.12962
95.35,85.14831
95.34,85.25047
95.33,85.25495
95.32,85.31974
95.31,85.32971
95.3,85.40471
95.29,85.42165
95.28,85.49541
95.27,85.5724
95.26,85.60753
95.24,85.61451
95.22,85.8273
95.21,85.83029
95.2,85.86368
95.19,85.89657
95.18,85.93943
95.17,85.99749
95.16,86.01867
95.15,86.08395
95.14,86.14624
95.13,86.16967
95.12,86.17017
95.11,86.2798
95.1,86.28703
95.09,86.3543
95.08,86.36527
95.07,86.4318
95.06,86.45422
95.05,86.51751
95.04,86.57432
95.03,86.61967
95.02,86.63836
95,86.6416
94.98,86.84243
94.97,86.84468
94.96,86.86511
94.95,86.9132
94.94,86.96478
94.93,87.02757
94.92,87.05024
94.91,87.12001
94.9,87.12126
94.89,87.1823
94.88,87.20971
94.87,87.21071
94.86,87.3054
94.85,87.31337
94.84,87.37741
94.83,87.39236
94.82,87.45216
94.81,87.45764
94.8,87.53638
94.79,87.54211
94.78,87.58422
94.77,87.64253
94.76,87.65947
94.74,87.66445
94.72,87.85731
94.71,87.85806
94.7,87.87276
94.69,87.90491
94.68,87.93755
94.67,87.9809
94.66,88.03946
94.65,88.06114
94.64,88.06413
94.63,88.12194
94.62,88.13713
94.61,88.20366
94.59,88.21313
94.58,88.30782
94.57,88.31803
94.56,88.37983
94.55,88.39279
94.54,88.45732
94.53,88.46255
94.52,88.48623
94.51,88.5403
94.5,88.59337
94.49,88.62227
94.48,88.64296
94.47,88.67335
94.44,88.6761
94.42,88.86273
94.41,88.86646
94.4,88.89412
94.39,88.9163
94.38,88.95268
94.37,89.00824
94.36,89.06157
94.35,89.06406
94.34,89.08748
94.33,89.14853
94.32,89.16472
94.31,89.20559
94.3,89.22951
94.29,89.24222
94.27,89.33267
94.26,89.34363
94.25,89.36655
94.24,89.40816
94.23,89.42536
94.22,89.48117
94.21,89.48616
94.2,89.51381
94.19,89.56539
94.18,89.62893
94.17,89.63267
94.16,89.68201
94.15,89.70717
94.14,89.71589
94.12,89.71739
94.09,89.89704
94.08,89.90178
94.07,89.91922
94.06,89.9546
94.05,89.98525
94.04,90.03459
94.03,90.04455
94.02,90.09165
94.01,90.11208
94,90.11831
93.99,90.18035
93.98,90.18384
93.97,90.23741
93.96,90.26009
93.95,90.27379
93.94,90.27479
93.93,90.36449
93.92,90.36524
93.91,90.37869
93.9,90.40062
93.89,90.44746
93.88,90.46491
93.87,90.52421
93.86,90.53168
93.85,90.55561
93.84,90.60345
93.83,90.61615
93.82,90.65752
93.81,90.664
93.8,90.71508
93.79,90.72953
93.78,90.75071
93.77,90.75345
93.75,90.7537
93.72,90.93609
93.71,90.93958
93.7,90.95976
93.69,90.97496
93.68,91.00013
93.67,91.03476
93.66,91.07663
93.65,91.08684
93.64,91.13169
93.63,91.16184
93.62,91.16857
93.61,91.22164
93.6,91.22189
93.59,91.24083
93.58,91.27796
93.57,91.30312
93.56,91.31708
93.55,91.32106
93.54,91.40977
93.53,91.41027
93.52,91.42173
93.51,91.4449
93.5,91.48427
93.49,91.49997
93.48,91.50396
93.47,91.56152
93.46,91.56251
93.45,91.5954
93.44,91.60288
93.43,91.63976
93.42,91.65545
93.41,91.69009
93.4,91.72771
93.39,91.75263
93.38,91.76933
93.37,91.78727
93.36,91.79599
93.33,91.79698
93.31,91.95795
93.3,91.9582
93.29,91.96493
93.28,91.97863
93.27,92.00305
93.26,92.02448
93.25,92.06335
93.24,92.06883
93.23,92.10745
93.22,92.12265
93.21,92.16651
93.2,92.17174
93.19,92.1979
93.18,92.19965
93.17,92.24973
93.16,92.25646
93.15,92.2749
93.14,92.30928
93.13,92.33594
93.12,92.35164
93.1,92.35413
93.09,92.43835
93.08,92.44134
93.07,92.45779
93.06,92.48046
93.05,92.52233
93.04,92.52532
93.03,92.54699
93.02,92.54724
93.01,92.59758
93,92.60605
92.99,92.62872
92.98,92.6347
92.97,92.67482
92.96,92.69151
92.95,92.73213
92.94,92.73761
92.93,92.76627
92.92,92.78869
92.91,92.80339
92.9,92.82582
92.89,92.83603
92.86,92.83853
92.83,92.9975
92.82,92.99874
92.81,93.00173
92.8,93.01718
92.79,93.0279
92.78,93.04235
92.77,93.06851
92.76,93.1029
92.75,93.10838
92.74,93.14052
92.73,93.15498
92.72,93.19135
92.71,93.19858
92.7,93.22275
92.69,93.23272
92.68,93.23297
92.67,93.28679
92.66,93.29202
92.65,93.31345
92.64,93.34659
92.63,93.35033
92.62,93.37101
92.61,93.38621
92.59,93.3877
92.58,93.4642
92.57,93.46445
92.56,93.47068
92.55,93.48189
92.54,93.50456
92.53,93.53895
92.52,93.54144
