pctl,acc60,acc15,mult,gap
0,100,100,1,0
1,99.9,,,
1.5,99.77,,,
2,99.66,,,
2.5,99.57,,,
3,99.48,,,
3.5,99.41,,,
4,99.34,,,
4.5,99.28,,,
5,99.22,,,
5.5,99.16,,,
6,99.11,,,
6.5,99.06,,,
7,99.01,,,
7.5,98.96,,,
8,98.91,,,
8.5,98.87,,,
9,98.83,,,
9.5,98.79,,,
10,98.74,,,
10.5,98.7,,,
11,98.66,,,
11.5,98.62,,,
12,98.58,,,
12.5,98.54,,,
13,98.51,,,
13.5,98.47,,,
14,98.44,,,
14.5,98.4,,,
15,98.36,,,
15.5,98.33,,,
16,98.29,,,
16.5,98.26,,,
17,98.22,,,
17.5,98.19,,,
18,98.16,,,
18.5,98.12,,,
19,98.09,,,
19.5,98.06,,,
20,98.03,,,
20.5,97.99,,,
21,97.96,,,
21.5,97.93,,,
22,97.9,,,
22.5,97.86,,,
23,97.83,,,
23.5,97.8,,,
24,97.77,,,
24.5,97.74,,,
25,97.71,,,
25.5,97.68,,,
26,97.65,,,
26.5,97.62,,,
27,97.59,,,
27.5,97.56,,,
28,97.53,,,
28.5,97.5,,,
29,97.47,,,
29.5,97.44,,,
30,97.41,,,
30.5,97.38,,,
31,97.35,,,
31.5,97.32,,,
32,97.29,,,
32.5,97.26,,,
33,97.23,,,
33.5,97.2,,,
34,97.17,,,
34.5,97.14,,,
35,97.11,,,
35.5,97.08,,,
36,97.05,,,
36.5,97.02,,,
37,96.99,,,
37.5,96.96,,,
38,96.93,,,
38.5,96.9,,,
39,96.87,,,
39.5,96.84,,,
40,96.81,99.68,1.029646,2.87
40.5,96.78,99.47,1.027795,2.69
41,96.74,99.43,1.027806,2.69
41.5,96.71,99.39,1.027712,2.68
42,96.68,99.36,1.02772,2.68
42.5,96.65,99.34,1.027832,2.69
43,96.62,99.31,1.027841,2.69
43.5,96.59,99.29,1.027953,2.7
44,96.55,99.27,1.028172,2.72
44.5,96.52,99.24,1.028181,2.72
45,96.49,99.22,1.028293,2.73
45.5,96.46,99.2,1.028406,2.74
46,96.43,99.18,1.028518,2.75
46.5,96.4,99.15,1.028527,2.75
47,96.36,99.13,1.028746,2.77
47.5,96.33,99.1,1.028755,2.77
48,96.3,99.07,1.028764,2.77
48.5,96.27,99.05,1.028877,2.78
49,96.23,99.01,1.028889,2.78
49.5,96.2,98.98,1.028898,2.78
50,96.17,98.95,1.028907,2.78
50.5,96.13,98.91,1.028919,2.78
51,96.1,98.88,1.028928,2.78
51.5,96.06,98.85,1.029044,2.79
52,96.03,98.81,1.028949,2.78
52.5,95.99,98.78,1.029066,2.79
53,95.96,98.74,1.02897,2.78
53.5,95.93,98.71,1.028979,2.78
54,95.89,98.68,1.029096,2.79
54.5,95.86,98.65,1.029105,2.79
55,95.82,98.62,1.029221,2.8
55.5,95.78,98.58,1.029234,2.8
56,95.75,98.55,1.029243,2.8
56.5,95.71,98.52,1.02936,2.81
57,95.68,98.49,1.029369,2.81
57.5,95.64,98.45,1.029381,2.81
58,95.6,98.43,1.029603,2.83
58.5,95.56,98.39,1.029615,2.83
59,95.53,98.36,1.029624,2.83
59.5,95.49,98.32,1.029637,2.83
60,95.44,98.3,1.029966,2.86
60.5,95.41,98.27,1.029976,2.86
61,95.37,98.23,1.029988,2.86
61.5,95.33,98.19,1.030001,2.86
62,95.29,98.16,1.030119,2.87
62.5,95.25,98.12,1.030131,2.87
63,95.21,98.09,1.030249,2.88
63.5,95.17,98.05,1.030262,2.88
64,95.12,98.01,1.030383,2.89
