delta,pctl
99.99975,0
99.9985,0.0002491727
99.99676,0.0004983455
99.99527,0.0007475182
99.99502,0.001245864
99.99277,0.001495036
99.99228,0.001993382
99.98929,0.002242555
99.98829,0.002491727
99.98605,0.0027409
99.98355,0.003737591
99.98081,0.004485109
99.97832,0.005232628
99.97184,0.006229319
99.97035,0.006976837
99.96811,0.00722601
99.96586,0.007475182
99.96213,0.007724355
99.95415,0.007973528
99.94817,0.008970219
99.94693,0.01046526
99.94369,0.01071443
99.9392,0.01121277
99.93497,0.01146195
99.92998,0.01171112
99.92774,0.01196029
99.92151,0.01220946
99.91628,0.01245864
99.90756,0.0137045
99.90083,0.01420285
99.89261,0.01495036
99.88762,0.01619623
99.88413,0.01669457
99.87616,0.01694375
99.86794,0.01794044
99.86395,0.0191863
99.85598,0.02018299
99.84925,0.02167803
99.84875,0.02342224
99.84626,0.02367141
99.83629,0.02441893
99.83031,0.02541562
99.82782,0.02641231
99.82408,0.02691066
99.81312,0.02715983
99.80664,0.02865487
99.8054,0.02940238
99.80415,0.02990073
99.78746,0.03039908
99.77774,0.03189411
99.76752,0.03338915
99.75382,0.03363832
99.74211,0.03613005
99.74036,0.0383726
99.73712,0.03862178
99.73214,0.03936929
99.71843,0.03986764
99.70598,0.04435275
99.70523,0.04734282
99.70398,0.04759199
99.69377,0.04784117
99.67807,0.04858869
99.66137,0.05033289
99.65913,0.05108041
99.6539,0.05157876
99.63546,0.05282462
99.62475,0.05506718
99.6083,0.0575589
99.60805,0.05955229
99.59983,0.05980146
99.58662,0.0602998
99.57516,0.06229319
99.55548,0.06428657
99.55323,0.06752581
99.54775,0.06802416
99.5328,0.06827333
99.51984,0.07001754
99.50539,0.0722601
99.50365,0.07400431
99.50265,0.07425348
99.49742,0.07450265
99.48322,0.07574851
99.47126,0.07873859
99.45531,0.08073197
99.45307,0.08397122
99.45107,0.08422039
99.44733,0.08446956
99.4269,0.08546625
99.41345,0.08920384
99.39675,0.0914464
99.3965,0.0941873
99.39625,0.09443647
99.39401,0.09468564
99.39177,0.09518399
99.38753,0.09568233
99.3686,0.0969282
99.3539,0.1001674
99.33296,0.1034067
99.32674,0.1066459
99.32225,0.1076426
99.29858,0.1083901
99.28338,0.1116294
99.2607,0.1141211
99.25747,0.1178587
99.25348,0.1181079
99.24974,0.1186062
99.22433,0.1198521
99.20663,0.1245864
99.17947,0.128324
99.17898,0.1333074
99.17798,0.1335566
99.17648,0.1338058
99.17524,0.1343041
99.171,0.1345533
99.16577,0.1348025
99.1406,0.1360483
99.12192,0.1415301
99.09102,0.1447694
99.09002,0.1517462
99.08828,0.1519954
99.08728,0.1522445
99.0803,0.1524937
99.07432,0.1537396
99.05165,0.1552346
99.02897,0.1604672
98.99783,0.1624606
98.99509,0.1666966
98.98761,0.1671949
98.98238,0.170185
98.95572,0.1711817
98.93055,0.1764143
98.89816,0.1818961
98.89716,0.1868796
98.89666,0.1871287
98.8857,0.1873779
98.87723,0.1911155
98.84409,0.1933581
98.82091,0.2005841
98.78852,0.2065642
98.78603,0.2132919
98.78528,0.2137902
98.77532,0.2142886
98.7651,0.2162819
98.7337,0.2182753
98.70978,0.2255013
98.67241,0.2292389
98.67017,0.2372125
98.66942,0.2374616
98.66892,0.2377108
98.65945,0.2382091
98.65073,0.239455
98.61634,0.2416976
98.59068,0.2506678
98.54732,0.2573954
98.54682,0.2666148
98.54608,0.266864
98.54558,0.2673624
98.54383,0.2676115
98.54209,0.268359
98.53437,0.2688574
98.53013,0.2715983
98.51991,0.2723458
98.48628,0.2755851
98.45637,0.2840569
98.41028,0.2902862
98.40978,0.3017482
98.40629,0.3019974
98.39807,0.3022465
98.39284,0.3042399
98.38237,0.3059841
98.34375,0.3089742
98.31435,0.3164494
98.27174,0.321682
98.27049,0.3336423
98.2685,0.3338915
98.26675,0.3341407
98.25928,0.334639
98.25205,0.3358849
98.23935,0.3376291
98.19724,0.341865
98.16285,0.3518319
98.11625,0.3565662
98.11576,0.3655364
98.11401,0.3657856
98.11052,0.3660348
98.1018,0.3670315
98.09134,0.3682773
98.07838,0.3720149
98.03702,0.3755033
98.00712,0.3859686
97.9533,0.3919487
97.9523,0.4046565
97.9518,0.4049057
97.95155,0.4051549
97.94831,0.4054041
97.93934,0.4064007
97.92962,0.4083941
97.89125,0.411135
97.87182,0.4208528
97.83569,0.4265837
97.7856,0.4330622
97.78535,0.4415341
97.78485,0.4417833
97.78311,0.4420325
97.78062,0.4425308
97.78037,0.44278
97.77912,0.4430291
97.76592,0.4435275
97.75869,0.4465176
97.71683,0.4480126
97.69615,0.4584779
97.66749,0.4627138
97.60769,0.4709365
97.60595,0.4843918
97.60271,0.4848902
97.60096,0.4858869
97.59,0.4871327
97.58078,0.4898736
97.53219,0.4931129
97.50977,0.5060698
97.47139,0.5113025
97.41184,0.520771
97.41159,0.5352231
97.4106,0.5354722
97.40935,0.5357214
97.40786,0.5359706
97.40437,0.5364689
97.39465,0.5369673
97.38618,0.5389607
97.34207,0.5412032
97.31342,0.5511701
97.26732,0.5608879
97.20378,0.5728481
97.20304,0.5895427
97.20279,0.5897919
97.20254,0.5900411
97.20179,0.5902902
97.1988,0.5907886
97.1978,0.5915361
97.18285,0.5920344
97.17438,0.5950245
97.12878,0.5980146
97.09963,0.6082307
97.05378,0.6174501
96.98875,0.6291612
96.988,0.6466033
96.98725,0.6468524
96.98576,0.6471016
96.98551,0.6473508
96.98327,0.6476
96.98302,0.6483475
96.97579,0.6485967
96.97305,0.6503409
96.96084,0.6515867
96.91524,0.6550752
96.88584,0.669278
96.83924,0.6772515
96.76948,0.6907069
96.76773,0.7064047
96.76399,0.7066539
96.75079,0.7076506
96.74531,0.7106407
96.7311,0.7121357
96.6728,0.7166208
96.6419,0.7305745
96.59381,0.7380497
96.51731,0.7505083
96.51681,0.7709405
96.51457,0.7711897
96.50984,0.7714388
96.49663,0.771688
96.49165,0.7746781
96.47695,0.7759239
96.42512,0.7781665
96.39621,0.7936152
96.34314,0.8018379
96.26116,0.8162899
96.26091,0.8359746
96.25867,0.8362237
96.25817,0.8364729
96.25493,0.8367221
96.25194,0.8372204
96.24098,0.8389646
96.2345,0.8427022
96.21955,0.8444464
96.16274,0.8474365
96.12736,0.8576526
96.07379,0.8703604
95.98633,0.8840649
95.98608,0.9052446
95.98508,0.9054938
95.98383,0.9057429
95.98234,0.9059921
95.9791,0.9067396
95.97885,0.9069888
95.97661,0.907238
95.96066,0.9079855
95.95418,0.9117231
95.93873,0.9137165
95.88217,0.9182016
95.84903,0.9331519
95.79496,0.9423713
95.71224,0.9588167
95.71199,0.9807439
95.71149,0.9809931
95.71099,0.9812423
95.71049,0.9814914
95.70974,0.9817406
95.708,0.9819898
95.70526,0.9829865
95.70451,0.9842323
95.70302,0.9844815
95.69255,0.9847307
95.68532,0.9869732
95.66714,0.9892158
95.6011,0.9944484
95.56821,1.009399
95.50193,1.018369
95.41024,1.037057
95.40974,1.059732
95.40874,1.059981
95.40625,1.06023
95.40426,1.060479
95.40351,1.060728
95.40226,1.060978
95.39006,1.061227
