raw,pctl
300.76,0
288.79,0.0002536346
279.4,0.0005072692
272.97,0.0007609038
271.19,0.001014538
269,0.001268173
268.98,0.001521808
267.59,0.001775442
264.99,0.002029077
263.6,0.002282711
261.58,0.002536346
259.2,0.00278998
257.99,0.003043615
257.2,0.00329725
255.95,0.003550884
252.76,0.003804519
250.2,0.004058153
248.79,0.004311788
248.6,0.004565423
246.97,0.004819057
246.39,0.005072692
245.97,0.005326326
244.6,0.005579961
243.98,0.005833595
243.18,0.00608723
239.38,0.006340865
239,0.006594499
238.98,0.006848134
236.59,0.007101768
236.2,0.007355403
235.4,0.007609038
235.39,0.008116307
235.17,0.008369941
234.78,0.008623576
233.96,0.00887721
233.59,0.009130845
233.58,0.00938448
230.39,0.009638114
230.2,0.009891749
229.99,0.01014538
228.78,0.01039902
228.5,0.01065265
228.18,0.01090629
228.16,0.01115992
228.13,0.01141356
228.08,0.01166719
228,0.01192083
227.97,0.01217446
227.58,0.01242809
227.19,0.01293536
226.99,0.013189
226.8,0.01344263
226.39,0.01369627
225.39,0.0139499
225,0.01420354
224.79,0.01445717
224.41,0.01471081
224.18,0.01496444
222.76,0.01521808
222.6,0.01547171
222.2,0.01572534
222,0.01597898
221.75,0.01648625
221.58,0.01673988
221.4,0.01699352
221.2,0.01724715
221.18,0.01750079
220.99,0.01775442
220.79,0.01800806
220.57,0.01826169
220.37,0.01851532
220.16,0.01876896
220,0.01902259
219.59,0.01927623
219.39,0.01952986
218.8,0.0197835
218.58,0.02003713
218.56,0.02029077
218.36,0.0205444
218.18,0.02079804
218.17,0.02105167
217.96,0.02130531
217.76,0.02155894
217.6,0.02181257
217.59,0.02231984
217.4,0.02282711
217.2,0.02308075
217.18,0.02358802
216.98,0.02384165
216.96,0.02409529
216.91,0.02434892
216.6,0.02460255
216.59,0.02485619
216.38,0.02510982
216.34,0.02536346
215.79,0.02561709
215.6,0.02587073
215.56,0.026378
215.55,0.02663163
215.39,0.02688527
215.18,0.0271389
214.99,0.02739254
214.96,0.02764617
214.8,0.02840707
214.76,0.02866071
214.59,0.02916798
214.57,0.02967525
214.56,0.02992888
214.4,0.03018252
214.39,0.03043615
214.2,0.03068978
214.19,0.03145069
214,0.03170432
213.8,0.03195796
213.4,0.03221159
213.2,0.03246523
213.18,0.03271886
213,0.0329725
212.96,0.03322613
212.95,0.03347977
212.8,0.0337334
212.78,0.03424067
212.76,0.0344943
212.75,0.03474794
211.8,0.03500157
211.59,0.03525521
211.37,0.03550884
210.99,0.03601611
210.94,0.03626975
210.58,0.03652338
210.38,0.03677701
210.19,0.03703065
209.99,0.03779155
209.98,0.03829882
209.97,0.03855246
209.89,0.03880609
209.6,0.03905973
209.4,0.03931336
209.2,0.03982063
209.18,0.04007426
209,0.0403279
208.98,0.04058153
208.77,0.04083517
208.6,0.04134244
208.58,0.04184971
208.57,0.04210334
208.39,0.04235698
208.37,0.04261061
208,0.04286424
207.99,0.04311788
207.8,0.04337151
207.79,0.04362515
207.6,0.04387878
207.59,0.04463969
207.39,0.04489332
207.2,0.04540059
207.18,0.04616149
207.15,0.04641513
206.99,0.04666876
206.77,0.04717603
206.59,0.0476833
206.58,0.04844421
206.39,0.04895147
206.38,0.04920511
206.19,0.04945874
206.17,0.04971238
206,0.04996601
205.99,0.05021965
205.77,0.05047328
205.57,0.05098055
205.39,0.05123419
205.37,0.05174146
205.2,0.05199509
205.17,0.05250236
205.16,0.05275599
204.99,0.05300963
204.98,0.0535169
204.8,0.05402417
204.78,0.0542778
204.77,0.05478507
204.76,0.0550387
204.4,0.05529234
204.39,0.05554597
204.38,0.05579961
204,0.05605324
203.97,0.05656051
203.91,0.05681415
203.77,0.05706778
203.6,0.05757505
203.59,0.05782869
203.57,0.05808232
202.8,0.05858959
202.73,0.05935049
202.6,0.05960413
202.59,0.05985776
202.58,0.06036503
202.4,0.06061867
202.17,0.0608723
202,0.06112593
201.99,0.06137957
201.97,0.0616332
201.8,0.06188684
201.77,0.06214047
201.57,0.06239411
201.4,0.06264774
201.39,0.06315501
201.38,0.06366228
201.19,0.06391592
201.18,0.06416955
201.14,0.06442318
201.1,0.06467682
201,0.06493045
200.98,0.06569136
200.8,0.06594499
200.79,0.06619863
200.78,0.06645226
200.57,0.0667059
200.4,0.06695953
200.37,0.06772043
200.34,0.06797407
200.2,0.0682277
200.19,0.06924224
200.18,0.06949588
200.17,0.06974951
200.16,0.07000315
200,0.07025678
199.98,0.07076405
199.8,0.07101768
199.78,0.07152495
199.77,0.07177859
199.6,0.07203222
199.59,0.07228586
199.57,0.07279313
199.4,0.07330039
199.39,0.07380766
199.37,0.0740613
199,0.07431493
198.99,0.07456857
198.8,0.0748222
198.79,0.07558311
198.77,0.07583674
198.59,0.07609038
198.53,0.07634401
198.4,0.07659764
198.39,0.07735855
198.37,0.07761218
198.2,0.07786582
198.18,0.07811945
198.17,0.07837309
198,0.07862672
197.99,0.07913399
197.97,0.07964126
197.8,0.08014853
197.79,0.0806558
197.77,0.0814167
197.6,0.08167034
197.57,0.08217761
197.4,0.08243124
197.39,0.08268487
197.38,0.08293851
197.35,0.08344578
197.17,0.08369941
197,0.08395305
196.99,0.08420668
196.77,0.08446032
196.72,0.08471395
196.6,0.08496759
196.59,0.08547485
196.57,0.08598212
196.4,0.08623576
196.39,0.08648939
196.38,0.08674303
196.36,0.0872503
196.2,0.08750393
196.19,0.08826484
196.17,0.0887721
196,0.08902574
195.99,0.08953301
195.97,0.09004028
195.92,0.09029391
195.79,0.09054755
195.77,0.09080118
195.72,0.09130845
195.6,0.09156208
195.4,0.09181572
195.39,0.09232299
195.2,0.09283026
195.19,0.09308389
195.17,0.09359116
194.98,0.09435207
194.8,0.0946057
194.78,0.0953666
194.77,0.09562024
194.71,0.09587387
194.6,0.09612751
194.59,0.09638114
194.57,0.09663478
194.4,0.09714205
194.39,0.09790295
194.37,0.09815658
194.32,0.09841022
194.2,0.09866385
194.19,0.09942476
194,0.09993203
193.99,0.1004393
193.98,0.1006929
193.97,0.1009466
193.8,0.1012002
193.79,0.1014538
193.78,0.1022147
193.77,0.1024684
193.6,0.102722
193.58,0.1029756
193.56,0.1032293
193.39,0.1037365
193.38,0.1039902
193.37,0.1044974
193.19,0.1047511
193.18,0.1050047
193.17,0.1052584
193,0.105512
192.99,0.1060193
192.97,0.1062729
192.8,0.1065265
192.79,0.1070338
192.77,0.1075411
192.6,0.1077947
192.58,0.108302
192.57,0.1088092
192.4,0.1090629
192.39,0.1098238
192.37,0.110331
192.2,0.1105847
192,0.1108383
191.99,0.1110919
191.98,0.1115992
191.97,0.1121065
191.77,0.1123601
191.6,0.1126138
191.59,0.1128674
191.58,0.1136283
191.4,0.1138819
191.39,0.1146428
191.38,0.1154037
191.2,0.1156574
191.19,0.115911
191.18,0.1161646
191.17,0.1164183
191.14,0.1166719
191,0.1169255
190.99,0.1181937
190.98,0.118701
190.96,0.1189546
190.79,0.1192083
190.75,0.1194619
190.67,0.1197155
190.6,0.1199692
190.59,0.1207301
190.57,0.1209837
190.56,0.1212373
190.53,0.121491
190.42,0.1217446
190.4,0.1219982
