pctl,datetime60,datetime15,mult,gap
0,2025-04-07 06:27:59.453,2025-04-07 03:51:23.940,0.9999882,-0.1087444
0.5,2025-04-04 03:19:16.848,2025-04-04 15:30:17.118,1.000055,0.507642
1,2025-04-01 10:13:29.747,2025-04-02 15:39:27.904,1.000133,1.226368
1.5,2025-03-28 15:39:33.900,2025-03-31 06:37:26.953,1.000285,2.623531
2,2025-03-25 13:30:14.068,2025-03-28 07:48:24.914,1.0003,2.762626
2.5,2025-03-21 14:49:09.510,2025-03-25 21:33:15.520,1.000465,4.280625
3,2025-03-18 03:46:29.118,2025-03-23 04:40:59.834,1.000547,5.037856
3.5,2025-03-14 04:51:15.910,2025-03-20 05:07:50.536,1.000653,6.011512
4,2025-03-11 03:46:49.128,2025-03-17 13:31:38.231,1.000696,6.406124
4.5,2025-03-07 03:31:15.401,2025-03-14 02:52:33.700,1.000758,6.973128
5,2025-03-03 14:47:28.384,2025-03-11 12:58:51.666,1.000862,7.924575
5.5,2025-02-27 11:41:05.788,2025-03-07 21:35:32.680,1.000915,8.412811
6,2025-02-24 00:18:43.467,2025-03-05 07:23:51.875,1.001012,9.295236
6.5,2025-02-19 19:19:52.173,2025-03-02 06:13:39.188,1.001139,10.45402
7,2025-02-15 18:17:38.780,2025-02-27 02:39:42.574,1.001237,11.34866
7.5,2025-02-11 23:23:16.239,2025-02-24 08:46:27.610,1.001351,12.3911
8,2025-02-07 16:38:14.509,2025-02-20 20:03:03.820,1.001433,13.14224
8.5,2025-02-04 02:58:11.965,2025-02-17 21:54:17.572,1.001504,13.78895
9,2025-01-30 10:29:31.099,2025-02-14 01:05:04.132,1.001595,14.60802
9.5,2025-01-25 23:45:36.801,2025-02-11 01:42:15.160,1.001756,16.081
10,2025-01-21 13:54:09.655,2025-02-07 08:35:58.421,1.001833,16.77904
10.5,2025-01-16 17:44:19.048,2025-02-04 03:31:05.063,1.002012,18.40748
11,2025-01-12 09:28:15.954,2025-01-31 03:01:56.894,1.002049,18.73172
11.5,2025-01-07 18:11:10.802,2025-01-27 19:16:59.357,1.002193,20.0457
12,2025-01-02 02:04:25.906,2025-01-23 17:09:30.868,1.002368,21.62853
12.5,2024-12-26 18:20:10.045,2025-01-19 15:50:47.101,1.002618,23.89626
13,2024-12-20 12:38:35.613,2025-01-15 19:37:27.060,1.002883,26.29087
13.5,2024-12-15 17:48:33.684,2025-01-11 23:05:31.433,1.002986,27.22011
14,2024-12-11 04:46:03.871,2025-01-07 16:57:21.388,1.003019,27.50784
14.5,2024-12-06 09:23:12.433,2025-01-02 12:21:58.592,1.002979,27.12415
15,2024-12-02 09:33:19.177,2024-12-27 19:57:14.752,1.002794,25.43328
15.5,2024-11-26 20:00:58.332,2024-12-22 11:06:49.266,1.002817,25.62906
16,2024-11-21 22:14:25.381,2024-12-18 01:36:50.555,1.002875,26.14057
16.5,2024-11-17 16:02:38.423,2024-12-13 17:32:42.788,1.002868,26.06255
17,2024-11-13 10:44:27.231,2024-12-10 05:47:54.242,1.00295,26.79406
17.5,2024-11-08 15:22:08.101,2024-12-05 19:10:52.484,1.002992,27.15885
18,2024-11-04 11:16:16.154,2024-12-02 12:18:52.062,1.00309,28.04347
18.5,2024-10-30 12:00:10.091,2024-11-27 16:18:44.696,1.003107,28.17957
19,2024-10-25 14:28:11.216,2024-11-23 10:43:30.259,1.003182,28.84397
19.5,2024-10-21 10:22:57.657,2024-11-19 19:08:22.300,1.003241,29.36487
20,2024-10-16 18:02:28.204,2024-11-15 18:14:28.371,1.003314,30.00834
20.5,2024-10-11 19:53:54.840,2024-11-12 08:32:19.025,1.003483,31.52667
21,2024-10-07 09:34:39.124,2024-11-07 22:49:58.464,1.003488,31.55231
21.5,2024-10-02 11:55:13.071,2024-11-04 09:28:34.602,1.003639,32.89817
22,2024-09-27 15:20:59.444,2024-10-30 19:52:40.956,1.003673,33.18867
22.5,2024-09-23 09:04:03.971,2024-10-26 16:48:14.824,1.003689,33.32235
23,2024-09-18 14:56:57.184,2024-10-22 16:31:33.118,1.003773,34.06569
23.5,2024-09-13 16:14:42.950,2024-10-18 09:43:46.520,1.003849,34.72851
24,2024-09-09 07:36:55.361,2024-10-14 13:46:31.667,1.003909,35.25667
24.5,2024-09-04 03:09:48.252,2024-10-10 01:34:06.193,1.003987,35.93354
25,2024-08-29 14:03:07.850,2024-10-05 15:51:21.378,1.004116,37.07516
25.5,2024-08-24 06:24:02.674,2024-10-01 17:22:56.755,1.004272,38.45757
26,2024-08-19 16:21:06.012,2024-09-27 07:04:17.117,1.004291,38.61332
26.5,2024-08-13 12:53:22.744,2024-09-23 14:37:06.393,1.004568,41.07203
27,2024-08-06 19:26:08.508,2024-09-19 06:38:45.608,1.004838,43.4671
27.5,2024-07-30 18:12:00.776,2024-09-14 22:30:16.934,1.005144,46.17935
28,2024-07-24 09:09:12.644,2024-09-10 17:13:19.982,1.005388,48.3362
28.5,2024-07-17 10:15:35.523,2024-09-05 18:52:19.158,1.005618,50.35884
29,2024-07-10 04:32:21.687,2024-08-31 17:28:37.420,1.005866,52.53907
29.5,2024-07-03 02:16:39.602,2024-08-27 02:35:44.868,1.006147,55.01326
30,2024-06-26 01:34:03.021,2024-08-21 16:38:53.065,1.006332,56.62836
30.5,2024-06-18 20:47:32.872,2024-08-15 20:35:16.660,1.00649,57.99148
31,2024-06-11 15:51:02.953,2024-08-09 16:00:29.702,1.006609,59.00656
31.5,2024-06-04 23:12:06.916,2024-08-02 23:32:22.180,1.006614,59.01407
32,2024-05-29 11:52:07.048,2024-07-27 06:21:30.336,1.006592,58.77041
32.5,2024-05-22 20:06:25.731,2024-07-20 13:19:49.262,1.006591,58.71763
33,2024-05-15 23:10:23.191,2024-07-13 11:52:18.806,1.006575,58.52912
33.5,2024-05-10 05:53:36.814,2024-07-06 10:52:41.411,1.006431,57.20769
34,2024-05-04 16:15:02.992,2024-06-29 04:18:47.671,1.006243,55.5026
34.5,2024-04-29 09:55:56.976,2024-06-21 20:34:12.007,1.006015,53.44323
35,2024-04-23 20:23:27.134,2024-06-14 14:26:36.485,1.005828,51.75219
35.5,2024-04-17 16:03:02.528,2024-06-07 20:48:41.477,1.00577,51.19837
36,2024-04-11 04:42:56.620,2024-06-01 17:25:47.220,1.005811,51.52975
36.5,2024-04-04 11:43:58.350,2024-05-26 13:54:57.615,1.005879,52.09096
37,2024-03-28 13:23:09.597,2024-05-20 14:55:44.115,1.005994,53.06429
37.5,2024-03-21 16:34:59.752,2024-05-14 10:03:01.800,1.006073,53.7278
38,2024-03-14 14:56:09.585,2024-05-08 20:49:03.657,1.00625,55.24507
38.5,2024-03-07 17:10:42.459,2024-05-03 12:51:31.592,1.006433,56.82001
39,2024-03-01 14:55:12.104,2024-04-28 09:14:51.147,1.006544,57.76365
39.5,2024-02-24 09:02:40.694,2024-04-23 04:29:20.209,1.006668,58.81018
40,2024-02-17 14:47:05.041,2024-04-17 12:46:19.121,1.006798,59.91614
40.5,2024-02-10 19:02:38.044,2024-04-11 07:18:08.670,1.006871,60.51077
41,2024-02-04 13:54:23.223,2024-04-04 20:46:13.936,1.00685,60.286
41.5,2024-01-28 11:46:42.012,2024-03-29 08:56:12.452,1.006923,60.8816
42,2024-01-21 23:31:19.507,2024-03-22 14:23:24.480,1.006899,60.6195
42.5,2024-01-14 17:02:11.601,2024-03-16 09:04:51.812,1.007024,61.66852
43,2024-01-07 06:03:15.616,2024-03-10 11:10:00.614,1.007206,63.21302
43.5,2023-12-30 01:11:30.224,2024-03-04 21:04:08.532,1.007511,65.82822
44,2023-12-21 08:06:12.825,2024-02-28 02:50:19.561,1.007856,68.78063
44.5,2023-12-13 22:35:40.539,2024-02-21 20:47:21.340,1.007993,69.92478
45,2023-12-06 21:00:25.496,2024-02-15 14:43:15.952,1.008093,70.73808
45.5,2023-11-30 14:33:11.406,2024-02-09 01:36:11.087,1.008067,70.46041
46,2023-11-23 03:58:06.443,2024-02-02 17:15:55.069,1.008199,71.55404
46.5,2023-11-15 23:19:17.784,2024-01-27 07:48:09.469,1.008297,72.35338
47,2023-11-09 09:06:58.712,2024-01-20 19:38:24.910,1.008313,72.4385
47.5,2023-11-02 19:50:36.411,2024-01-13 07:57:44.223,1.008213,71.50495
48,2023-10-27 15:21:39.312,2024-01-05 22:19:27.101,1.008079,70.29014
48.5,2023-10-20 20:38:12.004,2023-12-28 13:32:12.582,1.007903,68.70417
49,2023-10-13 14:52:51.538,2023-12-19 22:29:28.130,1.00775,67.31709
49.5,2023-10-06 04:15:12.759,2023-12-13 07:44:35.929,1.007852,68.14541
50,2023-09-29 00:29:11.647,2023-12-06 15:17:34.358,1.007912,68.61693
50.5,2023-09-21 15:36:07.077,2023-11-30 01:07:01.242,1.008009,69.39646
51,2023-09-13 23:32:14.720,2023-11-22 18:41:57.656,1.008063,69.79841
51.5,2023-09-06 19:40:20.127,2023-11-15 21:54:18.598,1.008103,70.09304
52,2023-08-30 01:12:13.951,2023-11-09 10:33:48.169,1.008261,71.38998
52.5,2023-08-21 22:22:58.656,2023-11-03 00:56:09.508,1.008467,73.10638
53,2023-08-13 07:54:21.520,2023-10-27 18:16:15.140,1.008745,75.43187
53.5,2023-08-04 15:59:23.612,2023-10-21 10:13:24.287,1.009024,77.75973
54,2023-07-26 03:50:00.977,2023-10-14 03:44:27.212,1.009294,79.99614
54.5,2023-07-16 11:28:07.189,2023-10-06 11:45:48.516,1.009539,82.01228
55,2023-07-07 01:13:53.556,2023-09-29 06:19:45.092,1.009806,84.2124
55.5,2023-06-27 11:43:38.076,2023-09-21 20:47:02.719,1.010069,86.37737
56,2023-06-17 19:43:11.006,2023-09-14 10:09:09.341,1.01034,88.60137
56.5,2023-06-09 18:24:10.362,2023-09-06 19:32:36.901,1.010402,89.04753
57,2023-06-01 07:31:11.572,2023-08-29 13:47:30.048,1.010437,89.26132
57.5,2023-05-24 10:07:56.980,2023-08-20 23:05:34.355,1.010362,88.54002
58,2023-05-16 19:42:23.475,2023-08-11 02:41:41.300,1.010108,86.29118
58.5,2023-05-09 12:55:04.966,2023-08-01 00:18:21.828,1.009787,83.4745
59,2023-05-01 21:33:42.681,2023-07-21 05:30:39.393,1.009426,80.33121
59.5,2023-04-23 18:56:18.211,2023-07-11 02:30:36.194,1.009199,78.31549
60,2023-04-15 23:56:14.664,2023-06-30 03:46:59.538,1.008836,75.16024
60.5,2023-04-07 03:19:57.989,2023-06-20 04:42:34.526,1.008716,74.05737
61,2023-03-29 21:39:38.891,2023-06-10 20:29:02.428,1.008594,72.95097
61.5,2023-03-22 12:02:06.667,2023-06-02 00:13:40.952,1.008431,71.50804
62,2023-03-14 21:04:22.507,2023-05-24 18:32:32.548,1.008366,70.89456
62.5,2023-03-07 16:51:31.408,2023-05-16 21:56:02.910,1.008293,70.21148
63,2023-02-28 15:47:33.548,2023-05-09 14:43:57.540,1.008269,69.95583
63.5,2023-02-21 05:06:57.485,2023-05-02 02:02:52.147,1.008267,69.87216
64,2023-02-13 14:02:29.868,2023-04-24 06:47:29.635,1.008254,69.69791
64.5,2023-02-06 02:51:28.299,2023-04-15 07:30:32.056,1.008083,68.19379
65,2023-01-29 14:07:26.308,2023-04-06 07:32:00.456,1.007916,66.7254
65.5,2023-01-21 13:21:22.317,2023-03-29 10:51:16.600,1.007943,66.89577
66,2023-01-13 12:42:19.041,2023-03-21 14:45:16.564,1.007974,67.08539
66.5,2023-01-05 17:16:59.392,2023-03-13 09:24:51.881,1.007932,66.67214
67,2022-12-26 16:29:12.401,2023-03-05 18:19:11.953,1.008228,69.07638
67.5,2022-12-16 17:55:41.832,2023-02-25 19:19:59.080,1.008474,71.05853
68,2022-12-09 09:09:20.726,2023-02-17 17:03:44.910,1.008394,70.32945
68.5,2022-12-01 19:32:26.248,2023-02-09 21:41:12.021,1.008373,70.08942
69,2022-11-23 14:53:17.125,2023-02-02 08:29:41.316,1.008458,70.73361
69.5,2022-11-16 01:42:29.999,2023-01-25 06:56:26.960,1.008404,70.21802
70,2022-11-08 18:31:45.242,2023-01-16 17:22:26.176,1.00826,68.95186
70.5,2022-11-01 08:45:39.657,2023-01-07 04:42:00.633,1.008013,66.8308
71,2022-10-24 09:19:53.781,2022-12-27 18:30:11.423,1.007727,64.38215
71.5,2022-10-17 03:53:16.648,2022-12-16 20:26:44.929,1.00729,60.68991
72,2022-10-09 09:51:43.247,2022-12-08 17:10:59.516,1.00725,60.30505
72.5,2022-10-01 06:06:34.337,2022-11-30 16:02:04.052,1.007271,60.41354
73,2022-09-22 21:24:50.596,2022-11-21 23:06:36.042,1.007237,60.07066
73.5,2022-09-15 02:03:41.153,2022-11-14 09:32:46.778,1.007273,60.31187
74,2022-09-07 08:17:36.315,2022-11-06 02:49:52.759,1.007214,59.77241
74.5,2022-08-29 21:02:13.364,2022-10-28 22:43:20.697,1.007258,60.07022
75,2022-08-20 10:32:54.381,2022-10-21 00:22:31.942,1.007448,61.57613
75.5,2022-08-10 21:20:24.340,2022-10-12 18:27:35.228,1.007615,62.87999
76,2022-08-01 06:15:45.575,2022-10-03 23:33:23.703,1.007725,63.72058
76.5,2022-07-20 03:04:26.424,2022-09-24 07:20:03.991,1.008035,66.17752
77,2022-07-06 12:41:41.880,2022-09-15 07:45:30.988,1.00861,70.79432
77.5,2022-06-23 03:24:27.988,2022-09-06 09:22:05.255,1.009166,75.24835
78,2022-06-09 20:47:05.372,2022-08-28 00:52:46.415,1.00966,79.17061
78.5,2022-05-28 11:12:20.845,2022-08-16 18:41:48.111,1.009814,80.31212
