diff,pctl
68.19,0
63.59,0.0002536346
57.2,0.0005072692
49.8,0.0007609038
48.39,0.001014538
48.19,0.001268173
47.79,0.001521808
46.59,0.001775442
45.8,0.002029077
44,0.002282711
43.99,0.002536346
43.99,0.00278998
43.8,0.003043615
43.6,0.00329725
43.19,0.003550884
43,0.003804519
42.39,0.004058153
42.2,0.004311788
41.8,0.004565423
41.8,0.004819057
41.8,0.005072692
41.79,0.005326326
41.59,0.005579961
41.4,0.005833595
41.39,0.00608723
41.2,0.006340865
41.19,0.006594499
41,0.006848134
40.8,0.007101768
40.8,0.007355403
40.79,0.007609038
40.6,0.007862672
40.4,0.008116307
40.4,0.008369941
40.39,0.008623576
40.2,0.00887721
40.19,0.009130845
40,0.00938448
39.6,0.009638114
39.4,0.01014538
39.2,0.01039902
39.2,0.01065265
39,0.01090629
38.8,0.01141356
38.8,0.01166719
38.78,0.01217446
38.59,0.01242809
38.59,0.01293536
38.4,0.013189
38.39,0.01344263
38.39,0.01369627
38.19,0.0139499
37.79,0.01420354
37.79,0.01471081
37.6,0.01496444
37.6,0.01521808
37.4,0.01572534
37.39,0.01597898
37.39,0.01623261
37.2,0.01648625
37.19,0.01673988
37,0.01699352
36.99,0.01724715
36.95,0.01775442
36.58,0.01800806
36.4,0.01826169
36.4,0.01876896
36.39,0.01902259
36.2,0.01927623
36.2,0.0197835
36,0.02029077
35.99,0.0205444
35.8,0.02079804
35.8,0.02105167
35.79,0.02130531
35.6,0.02155894
35.4,0.02257348
35.39,0.02282711
35.2,0.02308075
35.19,0.02333438
35,0.02358802
35,0.02384165
34.99,0.02409529
34.8,0.02460255
34.8,0.02510982
34.8,0.02536346
34.6,0.02587073
34.59,0.02612436
34.4,0.026378
34.39,0.02663163
34.39,0.02688527
34.2,0.02764617
34.2,0.0278998
34,0.02815344
34,0.02840707
33.99,0.02866071
33.8,0.02942161
33.8,0.02967525
33.8,0.03018252
33.79,0.03043615
33.79,0.03068978
33.6,0.03119705
33.6,0.03145069
33.6,0.03170432
33.59,0.0329725
33.59,0.03398703
33.56,0.03424067
33.4,0.0344943
33.4,0.03474794
33.4,0.03500157
33.39,0.03525521
33.2,0.03550884
33.2,0.03576248
33.19,0.03601611
33.19,0.03728428
33,0.03753792
32.99,0.03779155
32.99,0.03829882
32.99,0.03855246
32.8,0.03880609
32.79,0.039567
32.79,0.0403279
32.6,0.04058153
32.6,0.0410888
32.59,0.04210334
32.57,0.04235698
32.4,0.04261061
32.4,0.04286424
32.4,0.04311788
32.39,0.04362515
32.39,0.04413242
32.2,0.04438605
32,0.04489332
32,0.04540059
31.99,0.04717603
31.99,0.04742967
31.99,0.0476833
31.98,0.04819057
31.8,0.04844421
31.8,0.04895147
31.8,0.04971238
31.79,0.04996601
31.6,0.05021965
31.6,0.05072692
31.6,0.05123419
31.59,0.05300963
31.59,0.0535169
31.58,0.05377053
31.4,0.05402417
31.4,0.05478507
31.39,0.05554597
31.2,0.05605324
31.2,0.05630688
31.2,0.05656051
31.2,0.05706778
31.19,0.05732142
31.19,0.05757505
31,0.05833595
30.99,0.05985776
30.99,0.0601114
30.99,0.06036503
30.8,0.06061867
30.8,0.0616332
30.8,0.06239411
30.79,0.06315501
30.79,0.06340865
30.6,0.06391592
30.6,0.06442318
30.6,0.06467682
30.59,0.06594499
30.59,0.0667059
30.4,0.06695953
30.4,0.0674668
30.4,0.06772043
30.39,0.0682277
30.39,0.06848134
30.38,0.06898861
30.2,0.06924224
30.2,0.07025678
30.19,0.07101768
30.18,0.07203222
30,0.07228586
30,0.07253949
30,0.0748222
29.99,0.07507584
29.99,0.07609038
29.8,0.07685128
29.8,0.07888036
29.79,0.07913399
29.79,0.08014853
29.79,0.08040216
29.6,0.08116307
29.6,0.08243124
29.6,0.08293851
29.6,0.08446032
29.59,0.08471395
29.59,0.08496759
29.59,0.08623576
29.4,0.08648939
29.4,0.0880112
29.4,0.08826484
29.4,0.08851847
29.39,0.08927937
29.39,0.08953301
29.39,0.09004028
29.39,0.09105482
29.2,0.09130845
29.2,0.09308389
29.19,0.09359116
29.19,0.0938448
29.19,0.09409843
29,0.09511297
29,0.0953666
29,0.09562024
29,0.09739568
28.99,0.09764931
28.99,0.09866385
28.99,0.09891749
28.99,0.1004393
28.8,0.1006929
28.8,0.1009466
28.8,0.1032293
28.79,0.1037365
28.79,0.1039902
28.79,0.1047511
28.79,0.1050047
28.6,0.1060193
28.6,0.1065265
28.6,0.1067802
28.59,0.1080483
28.59,0.1095701
28.57,0.1098238
28.4,0.1100774
28.4,0.1121065
28.4,0.1128674
28.39,0.1143892
28.39,0.1146428
28.39,0.1151501
28.39,0.1156574
28.2,0.115911
28.2,0.1171792
28.2,0.1176864
28.19,0.1189546
28.19,0.1194619
28,0.1202228
28,0.1204764
27.99,0.1240273
27.8,0.1245346
27.8,0.1258028
27.8,0.12631
27.79,0.1273246
27.79,0.1291
27.6,0.1303682
27.6,0.13189
27.59,0.1339191
27.59,0.1349336
27.55,0.1351872
27.4,0.1354409
27.4,0.1372163
27.4,0.1374699
27.39,0.1389918
27.39,0.1402599
27.38,0.1410208
27.2,0.1412745
27.2,0.1417817
27.2,0.1448253
27.2,0.1453326
27.19,0.1455863
27.19,0.1460935
27,0.1473617
27,0.1514198
26.99,0.1519271
26.99,0.1531953
26.99,0.1534489
26.98,0.1547171
26.8,0.1552244
26.8,0.1559853
26.79,0.1585216
26.79,0.1587752
26.79,0.1595362
26.78,0.1600434
26.6,0.1602971
26.6,0.1608043
26.6,0.1628334
26.6,0.1633407
26.59,0.165877
26.59,0.1666379
26.59,0.1668916
26.4,0.1676525
26.4,0.1699352
26.4,0.1701888
26.4,0.1717106
26.39,0.1719642
26.39,0.1724715
26.2,0.1745006
26.2,0.1747542
26.2,0.1767833
26.2,0.1772906
26.19,0.1783051
26.19,0.1795733
26.18,0.1798269
26,0.1800806
26,0.1843923
25.99,0.184646
25.99,0.1848996
25.8,0.1861678
25.8,0.1866751
25.8,0.1907332
25.79,0.1912405
25.79,0.1917477
25.79,0.192255
25.79,0.1925086
25.6,0.1932696
25.6,0.1935232
25.6,0.1963132
25.59,0.2003713
25.58,0.2021468
25.57,0.2024004
25.4,0.202654
25.4,0.2056976
25.4,0.2064586
25.4,0.2074731
25.39,0.2079804
25.39,0.208234
25.39,0.2102631
25.39,0.2105167
25.2,0.2107703
25.2,0.2160967
25.2,0.2166039
25.19,0.2176185
25.19,0.2178721
25.18,0.2216766
25,0.2219303
25,0.2226912
25,0.2295393
25,0.2300466
24.99,0.2305538
24.99,0.231822
24.99,0.2338511
24.8,0.2341047
24.8,0.234612
24.8,0.2356265
24.79,0.2414601
24.79,0.2417138
24.79,0.2427283
24.6,0.2442501
24.6,0.2467864
24.6,0.247801
24.59,0.2518591
24.59,0.2533809
24.59,0.2538882
24.59,0.2541419
24.4,0.2546491
24.4,0.2584536
24.4,0.2594682
24.39,0.2614973
24.39,0.2617509
24.39,0.2630191
24.38,0.2632727
24.2,0.26378
24.2,0.2642872
24.2,0.2718963
24.19,0.2731644
24.19,0.274179
24.19,0.2767153
24,0.2772226
24,0.2777299
24,0.2858462
24,0.2860998
23.99,0.2871143
23.99,0.287368
23.99,0.2876216
23.99,0.2878753
23.98,0.2896507
23.97,0.2899043
23.8,0.290158
23.8,0.2932016
23.8,0.2934552
23.8,0.2937088
23.8,0.2987815
23.79,0.2995424
23.79,0.2997961
23.79,0.3010643
23.79,0.3013179
23.75,0.303347
23.6,0.3036006
23.6,0.3071515
23.6,0.3076587
23.6,0.313746
23.59,0.3139996
23.59,0.3170432
23.58,0.318565
