raw,pctl
315.79,0
311.96,0.0002491727
304.74,0.0004983455
297.4,0.0007475182
293.46,0.000996691
285.55,0.001245864
284.75,0.001495036
282.81,0.001744209
281.6,0.001993382
280.76,0.002242555
280.72,0.002491727
278.33,0.0027409
277.6,0.002990073
275.93,0.003239246
274.22,0.003488418
273.49,0.003737591
269.54,0.003986764
268.8,0.004235937
267.16,0.004485109
266.15,0.004734282
264.75,0.004983455
264.66,0.005232628
264.62,0.0054818
264,0.005730973
263.96,0.005980146
263.87,0.006229319
263.77,0.006478491
262.38,0.006976837
261.42,0.007475182
259.83,0.007724355
259.18,0.007973528
259.02,0.008222701
258.3,0.008471873
257.58,0.008721046
257.48,0.008970219
255.96,0.009219392
255.95,0.009468564
255.2,0.009717737
255.19,0.00996691
255.03,0.01021608
253.6,0.01046526
252.7,0.01071443
251.98,0.0109636
251.93,0.01121277
251.2,0.01146195
251.1,0.01171112
250.29,0.01196029
250.07,0.01220946
249.58,0.01245864
249.47,0.01270781
248.77,0.01295698
248.75,0.01320616
248.72,0.01345533
248.63,0.0137045
248,0.01395367
247.99,0.01420285
247.83,0.01445202
247.19,0.01470119
247.07,0.01495036
246.4,0.01519954
246.06,0.01544871
245.6,0.01569788
245.58,0.01619623
245.52,0.0164454
245.39,0.01669457
244.8,0.01694375
244.78,0.01719292
244.75,0.01744209
244.73,0.01769127
244.65,0.01794044
244.6,0.01818961
243.95,0.01843878
243.84,0.01868796
243.81,0.01893713
243.8,0.0191863
243.77,0.01943547
243.53,0.01968465
243.2,0.01993382
243.17,0.02018299
243.14,0.02043217
243.13,0.02068134
243.07,0.02093051
242.4,0.02142886
242.35,0.02167803
242,0.0219272
241.6,0.02217637
241.54,0.02242555
241.49,0.02267472
241.44,0.02292389
241.33,0.02342224
240.74,0.02367141
240.67,0.02392058
240.64,0.02416976
239.87,0.02441893
239.82,0.0246681
239.2,0.02491727
239.18,0.02516645
239.16,0.02541562
239.07,0.02566479
239.06,0.02616314
239.02,0.02641231
238.95,0.02666148
238.39,0.02691066
238.27,0.027409
238.18,0.02765817
237.87,0.02790735
237.65,0.02815652
237.6,0.02840569
237.5,0.02890404
236.74,0.02915321
236.64,0.02940238
236,0.0301499
235.97,0.03089742
235.95,0.03114659
235.94,0.03139577
235.93,0.03164494
235.91,0.03189411
235.8,0.03214328
234.98,0.03239246
234.89,0.03264163
234.4,0.0328908
234.37,0.03313998
234.27,0.03338915
234.23,0.03363832
234.01,0.03388749
233.58,0.03413667
233.57,0.03463501
233.51,0.03488418
233.43,0.03513336
232.8,0.03538253
232.76,0.0356317
232.75,0.03588088
232.73,0.03613005
232.71,0.03637922
232.49,0.03662839
232,0.03687757
231.98,0.03712674
231.92,0.03737591
231.9,0.03762508
231.2,0.03787426
231.18,0.03812343
231.17,0.0383726
231.16,0.03862178
231.14,0.03887095
231.05,0.03912012
231.03,0.03936929
230.89,0.03961847
230.4,0.03986764
230.39,0.04061516
230.37,0.04086433
230.35,0.0411135
230.34,0.04136268
230.33,0.04161185
230.31,0.04186102
230.14,0.04211019
229.6,0.04235937
229.58,0.04335606
229.57,0.0438544
229.56,0.04410358
229.52,0.04435275
229.51,0.04460192
229.5,0.04510027
229.45,0.04534944
229.39,0.04559861
228.8,0.04584779
228.79,0.04634613
228.78,0.0465953
228.77,0.04734282
228.75,0.04809034
228.74,0.04858869
228.73,0.04883786
228.65,0.04908703
228.6,0.0493362
228,0.04958538
227.99,0.05033289
227.98,0.05058207
227.97,0.05083124
227.96,0.05108041
227.93,0.05157876
227.91,0.0520771
227.85,0.05257545
227.21,0.05332297
227.19,0.05357214
227.18,0.05382131
227.17,0.05407049
227.14,0.05456883
227.1,0.054818
226.4,0.05506718
226.39,0.05556552
226.38,0.0558147
226.37,0.05631304
226.35,0.05656221
226.31,0.05681139
226.26,0.05730973
226.25,0.0575589
226.22,0.05830642
225.67,0.0585556
225.6,0.05880477
225.58,0.05905394
225.57,0.05930311
225.56,0.05980146
225.54,0.0602998
225.52,0.06054898
225.45,0.06079815
224.78,0.0612965
224.76,0.06154567
224.71,0.06179484
224.69,0.06204401
224.67,0.06229319
224.65,0.06254236
224.63,0.06279153
224.62,0.0630407
224.61,0.06328988
224.5,0.06353905
224.16,0.06378822
224,0.0640374
223.99,0.06478491
223.98,0.06528326
223.97,0.06553243
223.93,0.06603078
223.9,0.06627995
223.8,0.0667783
223.48,0.06702747
223.2,0.06727664
223.19,0.06827333
223.18,0.06852251
223.17,0.06927002
223.15,0.0695192
223.13,0.06976837
223.05,0.07026671
222.9,0.07051589
222.87,0.07076506
222.62,0.07101423
222.4,0.07126341
222.39,0.07176175
222.38,0.07201092
222.37,0.07250927
222.34,0.07350596
222.33,0.07375513
222.3,0.07400431
222.25,0.07425348
222.23,0.075001
222.1,0.07525017
221.6,0.07549934
221.59,0.07674521
221.58,0.07699438
221.57,0.07749272
221.55,0.07799107
221.54,0.07848942
221.44,0.07898776
220.8,0.07923693
220.79,0.08098114
220.78,0.08147949
220.76,0.08172866
220.72,0.08197783
220.69,0.08222701
220.68,0.08247618
220.65,0.08272535
220.61,0.08297452
220.51,0.0832237
220.33,0.08347287
220,0.08372204
219.99,0.08521708
219.95,0.08571542
219.94,0.0859646
219.93,0.08621377
219.91,0.08646294
219.9,0.08696129
219.85,0.08721046
219.62,0.08770881
219.2,0.08795798
219.19,0.08845633
219.16,0.0887055
219.12,0.08945302
219.1,0.08995136
219.05,0.09020053
219.04,0.09044971
219.01,0.09069888
218.98,0.09094805
218.95,0.09119723
218.88,0.0914464
218.76,0.09169557
218.4,0.09194474
218.39,0.09319061
218.38,0.09343978
218.37,0.09393813
218.36,0.09468564
218.35,0.09493482
218.34,0.09568233
218.3,0.09593151
218.28,0.09618068
218.25,0.09642985
217.6,0.09667903
217.59,0.09767572
217.58,0.09792489
217.57,0.09817406
217.56,0.09842323
217.53,0.09867241
217.52,0.09917075
217.51,0.0996691
217.5,0.09991827
217.48,0.1004166
217.46,0.100915
217.45,0.1014133
217.41,0.1016625
216.8,0.1019117
216.79,0.1036559
216.78,0.1046526
216.77,0.1051509
216.76,0.1058984
216.75,0.1061476
216.74,0.1063968
216.71,0.1066459
216.7,0.1068951
216.66,0.1071443
216.63,0.108141
216.62,0.1083901
216.51,0.1086393
216.48,0.1088885
216,0.1091377
215.99,0.1101344
215.98,0.1106327
215.97,0.1108819
215.96,0.1113802
215.94,0.1118786
215.93,0.1123769
215.92,0.1126261
215.91,0.1128753
215.89,0.1133736
215.86,0.1136228
215.2,0.1151178
215.19,0.1158653
215.17,0.1166128
215.16,0.1173604
215.14,0.1176095
215.13,0.1183571
215.11,0.1188554
215.06,0.1191046
215.05,0.1196029
214.94,0.1198521
214.4,0.1201013
214.39,0.1213471
214.38,0.1218455
214.37,0.1220946
214.36,0.1230913
214.35,0.1235897
214.31,0.1243372
214.29,0.1248355
214.27,0.1250847
214.26,0.1253339
213.6,0.1258322
213.59,0.1268289
213.58,0.1273273
213.57,0.1275764
213.56,0.1290715
213.54,0.1293207
213.52,0.129819
213.51,0.1305665
213.5,0.1315632
213.49,0.1320616
