wpm,pctl
304.76,0
304.74,0.0002491727
304.6,0.0004983455
294.2,0.0007475182
285.55,0.000996691
280.76,0.001245864
280.72,0.001495036
277.6,0.001744209
277.47,0.001993382
275.95,0.002242555
275.93,0.002491727
274.02,0.0027409
268.8,0.002990073
267.09,0.003239246
266.23,0.003488418
266.15,0.003737591
265.53,0.003986764
264.62,0.004235937
264,0.004485109
259.95,0.004734282
259.83,0.004983455
259.02,0.005232628
256.63,0.0054818
255.15,0.005730973
255.03,0.005980146
254.27,0.006229319
253.58,0.006478491
252.78,0.006727664
252.7,0.006976837
251.98,0.00722601
251.18,0.007475182
250.38,0.007724355
250.36,0.007973528
250.35,0.008222701
250.07,0.008471873
249.59,0.008721046
248.75,0.008970219
247.19,0.009219392
247.07,0.009468564
246.4,0.009717737
246.33,0.00996691
246.19,0.01021608
246.06,0.01046526
245.6,0.01071443
244.8,0.0109636
244.78,0.01146195
244.77,0.01196029
244.76,0.01220946
244.65,0.01245864
243.95,0.01270781
243.77,0.01295698
243.2,0.01320616
243.14,0.01345533
243.11,0.0137045
242.4,0.01395367
242.27,0.01420285
241.59,0.01445202
241.54,0.01470119
241.52,0.01495036
241.47,0.01519954
241.41,0.01544871
241.39,0.01569788
240.71,0.01594706
240.64,0.01619623
239.87,0.0164454
239.15,0.01694375
239.07,0.01719292
238.95,0.01769127
238.27,0.01794044
237.6,0.01818961
237.58,0.01843878
237.55,0.01868796
237.5,0.01893713
237.14,0.0191863
236.77,0.01943547
236.67,0.01968465
236.64,0.01993382
236.54,0.02018299
235.98,0.02043217
235.94,0.02068134
235.93,0.02117968
235.2,0.02142886
235.04,0.0219272
234.4,0.02217637
234.39,0.02242555
234.37,0.02267472
234.36,0.02292389
234.34,0.02317307
234.23,0.02342224
234.02,0.02392058
233.6,0.02416976
233.51,0.02441893
233.43,0.0246681
232.8,0.02491727
232.64,0.02541562
231.9,0.02591397
231.27,0.02616314
231.14,0.02641231
231.13,0.02666148
231.08,0.02691066
230.89,0.02715983
230.4,0.027409
230.38,0.02765817
230.34,0.02815652
230.14,0.02840569
230.03,0.02865487
229.6,0.02890404
229.58,0.02940238
229.57,0.02990073
229.52,0.0301499
229.5,0.03039908
228.8,0.03064825
228.79,0.03114659
228.78,0.03139577
228.77,0.03214328
228.75,0.03239246
228.74,0.03264163
228.73,0.0328908
228.71,0.03313998
228.65,0.03338915
228.6,0.03388749
228.29,0.03413667
228,0.03438584
227.98,0.03538253
227.97,0.0356317
227.96,0.03588088
227.94,0.03613005
227.91,0.03637922
227.88,0.03662839
227.85,0.03687757
227.2,0.03762508
227.1,0.03787426
227.05,0.03812343
226.4,0.0383726
226.37,0.03862178
226.35,0.03887095
226.26,0.03936929
226.25,0.03961847
226.19,0.03986764
225.6,0.04011681
225.58,0.04061516
225.57,0.04086433
225.55,0.0411135
225.51,0.04136268
225.45,0.04186102
224.8,0.04211019
224.78,0.04235937
224.75,0.04260854
224.73,0.04285771
224.69,0.04310689
224.62,0.04335606
224.5,0.0438544
224,0.04410358
223.99,0.04460192
223.98,0.04510027
223.97,0.04534944
223.91,0.04559861
223.9,0.04584779
223.85,0.04634613
223.81,0.0465953
223.7,0.04684448
223.2,0.04709365
223.19,0.04833951
223.18,0.04858869
223.14,0.04883786
223.05,0.04908703
222.9,0.0493362
222.87,0.04958538
222.62,0.04983455
222.41,0.05008372
222.4,0.05033289
222.39,0.05108041
222.37,0.05132959
222.31,0.05232628
222.3,0.05257545
222.25,0.05282462
222.23,0.0530738
221.77,0.05332297
221.59,0.05357214
221.54,0.05407049
221.53,0.05431966
221.51,0.054818
221.39,0.05506718
220.8,0.05531635
220.79,0.05656221
220.78,0.05681139
220.77,0.05706056
220.69,0.05780808
220.65,0.05805725
220.6,0.0585556
220.33,0.05880477
220,0.05905394
219.99,0.05980146
219.98,0.06054898
219.97,0.06079815
219.96,0.06104732
219.95,0.0612965
219.93,0.06154567
219.92,0.06179484
219.87,0.06204401
219.2,0.06229319
219.19,0.06254236
219.18,0.06279153
219.17,0.06328988
219.16,0.06378822
219.14,0.06428657
219.11,0.06503409
219.05,0.06528326
219.04,0.06578161
219.01,0.06603078
218.95,0.06627995
218.4,0.06652912
218.38,0.06727664
218.37,0.06752581
218.35,0.06852251
218.34,0.06927002
218.28,0.0695192
218.26,0.06976837
217.6,0.07001754
217.57,0.07026671
217.53,0.07051589
217.51,0.07076506
217.46,0.07101423
217.09,0.07126341
216.8,0.07151258
216.79,0.07300761
216.78,0.07350596
216.77,0.07400431
216.76,0.07425348
216.73,0.07450265
216.71,0.07475182
216.7,0.075001
216.66,0.07525017
216.63,0.07674521
216.62,0.07724355
216.61,0.0777419
216.51,0.07799107
216,0.07824024
215.96,0.07948611
215.93,0.07973528
215.92,0.07998445
215.91,0.08023362
215.88,0.08073197
215.86,0.08098114
215.83,0.08147949
215.8,0.08172866
215.71,0.08197783
215.2,0.08222701
215.19,0.08347287
215.18,0.08397122
215.17,0.08446956
215.14,0.08496791
215.13,0.08546625
215.12,0.08571542
215.11,0.0859646
215.1,0.08621377
214.94,0.08646294
214.91,0.08671212
214.5,0.08696129
214.4,0.08721046
214.39,0.08795798
214.38,0.08820715
214.37,0.08845633
214.36,0.08895467
214.3,0.08995136
214.28,0.09020053
214.27,0.09044971
214.24,0.09069888
214.09,0.09094805
213.97,0.09119723
213.6,0.0914464
213.59,0.09194474
213.58,0.09219392
213.56,0.09244309
213.55,0.09269226
213.54,0.09294143
213.52,0.09343978
213.51,0.09393813
213.5,0.09443647
213.49,0.09493482
213.48,0.09518399
213.46,0.09543316
213.44,0.09568233
213.42,0.09593151
212.8,0.09618068
212.79,0.09717737
212.78,0.09767572
212.77,0.09842323
212.75,0.09941993
212.74,0.09991827
212.69,0.1004166
212.66,0.100915
212.38,0.1019117
212,0.1021608
211.99,0.103905
211.98,0.1044034
211.97,0.1046526
211.96,0.1049017
211.94,0.1051509
211.93,0.1058984
211.86,0.1063968
211.82,0.1068951
211.72,0.1071443
211.2,0.1073935
211.19,0.1086393
211.18,0.1093868
211.17,0.109636
211.16,0.1106327
211.15,0.1116294
211.14,0.1118786
211.13,0.1121277
211.1,0.1126261
211.06,0.1128753
210.97,0.1133736
210.4,0.1136228
210.39,0.1143703
210.38,0.1146195
210.37,0.115367
210.35,0.1166128
210.34,0.116862
210.33,0.1171112
210.32,0.1173604
210.31,0.1178587
210.3,0.1183571
210.29,0.1186062
210.26,0.1188554
210.24,0.1201013
210.11,0.1203504
210.01,0.1205996
209.6,0.1208488
209.59,0.1218455
209.58,0.1223438
209.57,0.122593
209.56,0.1238389
209.54,0.1245864
209.53,0.1248355
209.52,0.1253339
209.51,0.1255831
209.49,0.1258322
209.48,0.1263306
209.46,0.1265798
209.45,0.1278256
209.32,0.1280748
208.8,0.128324
208.79,0.1290715
208.78,0.1293207
208.77,0.1305665
208.76,0.1325599
208.75,0.1330582
208.74,0.1333074
208.72,0.1340549
208.71,0.1345533
208.68,0.1348025
208.66,0.13555
208.65,0.1367958
208.64,0.137045
208.59,0.1372942
208.52,0.1375434
208.11,0.1380417
208,0.1382909
207.98,0.1410318
207.97,0.1420285
207.96,0.1425268
207.95,0.1435235
207.94,0.144271
207.93,0.1450185
207.92,0.1457661
207.91,0.1462644
207.88,0.1467627
207.86,0.1470119
207.83,0.148507
207.72,0.1487561
207.2,0.1490053
207.19,0.1509987
207.18,0.151497
207.17,0.1524937
207.16,0.1527429
207.15,0.1532412
207.14,0.1539888
207.13,0.1542379
207.12,0.1552346
207.1,0.155733
207.09,0.1562313
207.06,0.1564805
207.05,0.1574772
206.85,0.1577263
206.4,0.1579755
206.39,0.1589722
206.38,0.1602181
206.37,0.1619623
206.36,0.1622115
206.34,0.1624606
206.33,0.1634573
206.31,0.1647032
206.3,0.1652015
206.28,0.1654507
206.26,0.1656999
206.22,0.1664474
206.13,0.1666966
206.12,0.1669457
206.1,0.1671949
206.06,0.1674441
205.6,0.1676933
205.59,0.1714308
205.58,0.1724275
205.57,0.1729259
205.56,0.1734242
205.55,0.1744209
205.53,0.1756668
205.52,0.1766635
205.5,0.1771618
205.48,0.177411
205.46,0.1776602
205.38,0.178906
205.19,0.1791552
204.8,0.1794044
204.79,0.1811486
204.78,0.1816469
204.77,0.1828928
204.76,0.1838895
204.75,0.184637
204.74,0.1858829
204.73,0.186132
204.72,0.1868796
204.71,0.1871287
204.7,0.1876271
204.69,0.1878763
204.68,0.1883746
204.66,0.1886238
204.59,0.1906172
204.54,0.1908663
204.49,0.1911155
204.44,0.1913647
204,0.1916138
203.99,0.1946039
203.98,0.1958498
203.97,0.1970956
203.96,0.1983415
203.95,0.199089
203.93,0.1998365
203.92,0.2000857
203.91,0.2003349
203.86,0.2008332
203.85,0.2010824
203.81,0.2013316
203.73,0.2015808
203.59,0.2018299
203.2,0.2020791
203.19,0.20482
203.18,0.2053183
203.17,0.2055675
203.16,0.2060659
203.15,0.2073117
203.14,0.2078101
203.13,0.2085576
203.12,0.2093051
203.11,0.2095543
203.1,0.2103018
203.09,0.210551
203.08,0.2108001
203.06,0.2110493
203.03,0.2142886
203.02,0.2145377
203,0.2147869
202.92,0.2150361
202.41,0.2152853
202.4,0.2155344
202.39,0.2187737
202.38,0.2200195
202.37,0.2205179
202.36,0.2217637
202.35,0.2220129
202.34,0.223508
202.33,0.2237571
202.32,0.2242555
202.31,0.2247538
202.29,0.225003
202.27,0.2252522
202.22,0.2274947
202.18,0.2277439
202.15,0.2279931
202.13,0.2282422
201.78,0.2284914
201.6,0.2287406
201.59,0.2319798
201.58,0.2344716
201.57,0.2349699
201.56,0.2369633
201.55,0.2377108
201.54,0.23796
201.52,0.2382091
201.51,0.2387075
201.5,0.2399534
201.48,0.2402025
201.47,0.2414484
201.46,0.2426943
201.43,0.2429434
201.42,0.2431926
201.41,0.2434418
201.37,0.2436909
201.26,0.2439401
200.8,0.2441893
200.79,0.2481761
200.78,0.2496711
200.77,0.2504186
200.76,0.2519136
200.75,0.252412
200.74,0.2531595
200.73,0.2534087
200.72,0.2536579
200.71,0.2546545
200.7,0.2551529
200.67,0.2554021
200.65,0.2571463
200.62,0.2573954
200.6,0.2576446
200.53,0.2578938
200.5,0.2588905
200.4,0.2591397
200,0.2593888
199.99,0.2623789
199.98,0.2638739
199.97,0.2656181
199.96,0.2666148
199.95,0.2676115
199.94,0.268359
199.93,0.2693557
199.92,0.2713491
199.91,0.2718475
199.9,0.2728442
199.89,0.2730933
