pctl,wpm60,wpm15,mult,gap
0,277.57,304.76,1.097957,27.19
0.5,162.99,191.14,1.17271,28.15
1,153.18,180.76,1.18005,27.58
1.5,147.58,174.37,1.181529,26.79
2,143,170.29,1.190839,27.29
2.5,139.71,166.37,1.190824,26.66
3,136.58,163.19,1.194831,26.61
3.5,133.97,160.78,1.200119,26.81
4,131.79,158.39,1.201836,26.6
4.5,129.79,156.71,1.207412,26.92
5,127.99,154.39,1.206266,26.4
5.5,126.37,152.78,1.208989,26.41
6,124.79,151.19,1.211555,26.4
6.5,123.38,150.1,1.216567,26.72
7,122.17,148.7,1.217156,26.53
7.5,120.97,147.16,1.2165,26.19
8,119.78,145.59,1.215478,25.81
8.5,118.59,144.73,1.220423,26.14
9,117.57,143.19,1.217913,25.62
9.5,116.39,142.36,1.223129,25.97
10,115.39,141.5,1.226276,26.11
10.5,114.39,140.54,1.228604,26.15
11,113.57,139.19,1.225588,25.62
11.5,112.59,138.37,1.228972,25.78
12,111.79,137.56,1.230522,25.77
12.5,110.99,136.73,1.231913,25.74
13,110.19,135.9,1.233324,25.71
13.5,109.54,135.1,1.233339,25.56
14,108.76,134.3,1.234829,25.54
14.5,107.97,133.5,1.236455,25.53
15,107.19,132.73,1.238268,25.54
15.5,106.57,131.95,1.238153,25.38
16,105.79,131.16,1.239815,25.37
16.5,105.19,130.38,1.239471,25.19
17,104.58,129.59,1.239147,25.01
17.5,103.98,128.79,1.238604,24.81
18,103.38,128.67,1.244631,25.29
18.5,102.79,127.9,1.244284,25.11
19,102.19,127.15,1.244251,24.96
19.5,101.77,126.37,1.241722,24.6
20,101.19,125.59,1.241131,24.4
20.5,100.77,125.47,1.245113,24.7
21,100.19,124.73,1.244935,24.54
21.5,99.77,123.97,1.242558,24.2
22,99.18,123.19,1.242085,24.01
22.5,98.59,123.11,1.248707,24.52
23,98,122.36,1.248571,24.36
23.5,97.57,121.59,1.246182,24.02
24,96.98,121.48,1.252629,24.5
24.5,96.39,120.75,1.252723,24.36
25,95.96,119.98,1.250313,24.02
25.5,95.38,119.83,1.256343,24.45
26,94.97,119.15,1.254607,24.18
26.5,94.39,118.38,1.254158,23.99
27,93.97,118.22,1.258061,24.25
27.5,93.39,117.55,1.2587,24.16
28,92.98,116.78,1.255969,23.8
28.5,92.57,116.67,1.260344,24.1
29,91.99,115.96,1.260572,23.97
29.5,91.58,115.19,1.257807,23.61
30,91.17,115.11,1.262586,23.94
30.5,90.77,114.37,1.259998,23.6
31,90.19,113.59,1.259452,23.4
31.5,89.79,113.55,1.264617,23.76
32,89.39,112.79,1.261774,23.4
32.5,88.98,112.71,1.266689,23.73
33,88.58,111.98,1.264168,23.4
33.5,88.16,111.76,1.267695,23.6
34,87.59,111.16,1.269095,23.57
34.5,87.19,110.39,1.266086,23.2
35,86.79,110.32,1.271114,23.53
35.5,86.39,109.58,1.268434,23.19
36,85.98,109.5,1.273552,23.52
36.5,85.58,108.77,1.270975,23.19
37,85.18,107.99,1.267786,22.81
37.5,84.78,107.96,1.273414,23.18
38,84.38,107.19,1.270325,22.81
38.5,83.98,107.13,1.275661,23.15
39,83.58,106.39,1.272912,22.81
39.5,83.18,106.32,1.278192,23.14
40,82.79,105.58,1.275275,22.79
40.5,82.39,105.52,1.280738,23.13
41,81.99,104.78,1.277961,22.79
41.5,81.76,104.7,1.280577,22.94
42,81.37,103.98,1.277867,22.61
42.5,80.98,103.89,1.282909,22.91
43,80.58,103.17,1.280343,22.59
43.5,80.19,103.05,1.285073,22.86
44,79.79,102.37,1.282993,22.58
44.5,79.56,102.25,1.285194,22.69
45,79.17,101.57,1.282935,22.4
45.5,78.78,101.26,1.285352,22.48
46,78.38,100.77,1.28566,22.39
46.5,77.98,99.99,1.282252,22.01
47,77.59,99.96,1.28831,22.37
47.5,77.19,99.19,1.285011,22
48,76.97,99.16,1.288294,22.19
48.5,76.58,98.39,1.2848,21.81
49,76.18,98.33,1.290759,22.15
49.5,75.79,97.58,1.287505,21.79
50,75.39,97.52,1.29354,22.13
