rank,name,wpm,raw,accuracy,consistency,diff
1,LeaFy,232.79,243.99,97.63,90.47,11.20
2,Xander3,204.39,230.19,94.10,86.56,25.80
3,managerhwang,201.99,210.19,97.82,86.90,8.20
4,hennyyy,201.80,228.40,92.03,87.75,26.60
5,CJasonP,195.16,213.35,95.51,88.78,18.19
6,josiahCS,194.60,210.80,94.51,79.43,16.20
7,Decone5,193.15,198.55,98.20,83.76,5.40
8,cookiecap10,189.97,196.97,98.08,85.91,7.00
9,colamek,187.19,199.59,96.60,89.44,12.40
10,joshee,186.40,191.60,96.92,81.68,5.20
11,anthonywsptServer,183.18,196.58,95.63,90.80,13.40
12,ShizukoBug,181.18,204.78,94.34,82.36,23.60
13,_Anomaly_,179.15,191.15,95.75,88.08,12.00
14,amoges,178.59,194.59,95.62,83.33,16.00
15,tapioca,177.80,189.40,96.02,81.85,11.60
16,J_icholas,176.18,180.58,97.37,83.67,4.40
17,UTF8All,176.18,187.38,95.88,83.81,11.20
18,TooCool,176.00,183.99,96.66,81.83,7.99
19,odekipalace,175.20,180.79,96.75,84.21,5.59
20,Adryn-Aria,174.25,199.83,92.90,88.17,25.58
21,ZACtheMAC,174.19,178.79,97.56,82.74,4.60
22,NukkiZip,174.19,201.19,93.45,84.45,27.00
23,Nalyd_VSAll,174.16,188.15,96.08,84.98,13.99
24,z1laa,172.58,188.58,95.87,85.61,16.00
25,milkpowder,170.96,186.16,95.82,85.97,15.20
26,altrocality,170.38,173.18,98.51,86.34,2.80
27,_beaten,169.20,175.80,96.95,84.88,6.60
28,tspmoicl,166.99,183.99,95.43,89.78,17.00
29,ritikmishra,166.40,177.60,95.53,83.52,11.20
30,Sapient,165.98,169.78,98.71,85.35,3.80
31,puwetan,165.17,179.17,94.98,89.28,14.00
32,er8852852,165.00,177.39,96.28,86.16,12.39
33,15wpmman,164.80,168.20,97.53,79.51,3.40
34,minecraft_gaming,164.19,180.18,95.56,88.69,15.99
35,ice-92,163.80,169.40,97.64,85.41,5.60
36,Your_Imouto,161.60,162.60,98.54,82.81,1.00
37,Chasuh,161.58,162.58,99.63,89.27,1.00
38,epsilon5,161.51,177.10,94.47,87.80,15.59
39,Hoolaboola,160.39,162.99,98.29,85.70,2.60
40,jamseybond,159.77,169.37,97.05,88.79,9.60
41,TJ_Barbwire,158.80,165.40,97.95,82.51,6.60
42,sezmia,158.79,167.39,97.73,90.80,8.60
43,klazo,158.40,159.40,97.81,81.86,1.00
44,darkyzapz,158.00,168.60,95.75,82.12,10.60
45,RG18,157.95,162.75,97.81,75.63,4.80
46,Yure1,157.60,162.40,98.05,81.76,4.80
47,genevatypes,157.39,162.19,97.34,78.72,4.80
48,AgentANP,157.38,168.17,95.77,83.09,10.79
49,hahapooplol1,156.98,162.97,97.67,87.44,5.99
50,meh6702,156.20,169.60,94.43,79.57,13.40
51,Precision-558,156.16,159.76,98.38,84.55,3.60
52,MVE02,155.97,166.17,95.84,80.75,10.20
53,redcherrypopper,155.80,158.40,98.99,85.51,2.60
54,melahdee,155.39,157.59,99.37,86.42,2.20
55,Sumeea,155.38,156.38,98.37,83.49,1.00
56,Uwarowite,155.00,190.00,89.58,83.24,35.00
57,vishal1242006,154.39,157.99,98.48,83.07,3.60
58,tIGERMOOSE,154.39,156.79,97.61,83.66,2.40
59,Kronenbourg,153.60,154.00,98.97,82.95,0.40
60,rogerz343,153.60,153.60,98.59,82.24,0.00
61,snow_world,153.40,166.40,95.10,80.88,13.00
62,mechacafe,153.20,156.00,99.36,86.46,2.80
63,octopurrs,152.79,159.99,97.27,81.87,7.20
64,Eewan,152.79,158.19,96.65,77.10,5.40
65,cndycrn,152.59,152.59,99.74,87.97,0.00
66,snikeron,152.40,169.00,92.57,81.13,16.60
67,Tuvibal,152.38,164.58,95.87,77.41,12.20
68,fluffeobuns,152.20,156.80,97.22,83.70,4.60
69,Gaotosky10,151.79,155.59,97.09,81.29,3.80
70,erure,151.59,157.99,98.48,87.35,6.40
71,13freddy,151.18,160.18,96.64,88.03,9.00
72,toasterbirb,150.80,161.00,96.66,86.56,10.20
73,Franz_DuranJr,150.79,160.79,95.01,78.33,10.00
74,cidneon,150.60,152.60,98.07,80.80,2.00
75,Stanislav2000,150.59,155.59,98.46,84.11,5.00
76,Flameflan,150.20,150.20,99.60,83.48,0.00
77,Volan_100,149.96,167.76,93.33,89.04,17.80
78,Mitochondr1a,149.59,159.79,95.47,79.24,10.20
79,wieski,149.40,158.39,96.98,85.05,8.99
80,Scytro,149.40,159.00,95.76,80.02,9.60
81,c4lendar,149.39,152.79,97.81,79.07,3.40
82,KungFewKenny,149.20,151.20,98.18,77.23,2.00
83,potatophoton,149.20,153.60,97.42,86.25,4.40
84,-Yums,148.77,148.77,99.33,83.10,0.00
85,sveltian,148.60,157.99,96.46,86.11,9.39
86,GPWAp1,148.59,160.59,96.15,85.53,12.00
87,Gifty,147.16,147.16,98.40,76.09,0.00
88,izaihb,147.00,150.20,97.28,76.19,3.20
89,mcensi,146.79,154.39,97.93,86.08,7.60
90,danieldwu,146.20,148.20,98.27,81.21,2.00
91,chang,145.60,146.60,99.46,85.58,1.00
92,Nord_Falcon,145.39,150.19,97.12,79.04,4.80
93,pandy69Supporter,145.18,153.98,94.98,75.49,8.80
94,WishfulOA,144.80,149.60,97.62,81.38,4.80
95,Chrishuang8911,144.60,149.60,97.36,81.52,5.00
96,AbhiTheTyper,144.60,151.80,96.98,83.72,7.20
97,BZ_Edd,143.40,151.80,94.95,80.31,8.40
98,JacoWilles,143.00,155.00,95.76,75.01,12.00
99,TypoNegative,142.80,142.80,99.30,86.00,0.00
100,SharkyFin,142.60,151.00,96.30,82.90,8.40
101,AngelDew,142.59,144.39,99.17,86.35,1.80
102,AziTheRizzler,142.58,155.38,95.02,83.07,12.80
103,meblz,142.38,144.58,96.78,79.09,2.20
104,Swxer,142.20,153.80,95.20,87.07,11.60
105,Iriliri,142.00,142.00,99.44,82.55,0.00
106,oresika,141.98,141.98,96.78,79.50,0.00
107,icedmelonsoda,141.39,146.19,97.18,82.30,4.80
108,SoGoodRight,141.20,150.60,96.29,83.50,9.40
109,Nacticr,141.18,142.98,96.40,75.99,1.80
110,clmKing,140.99,144.19,99.17,87.24,3.20
111,connan,140.99,154.19,95.33,85.25,13.20
112,couldbelewz,140.95,155.54,94.44,76.95,14.59
113,glickenspiel,140.17,150.77,95.65,87.19,10.60
114,thespoopyman,140.00,140.80,97.78,77.81,0.80
115,MoistRice,139.80,139.80,97.91,77.79,0.00
116,SlipStream,139.80,145.80,95.65,81.36,6.00
