name,wpm,raw,accuracy,consistency,diff
nadiia,58.19,58.19,96.36,49.72,0
albertrinehart,67.4,69.2,96.88,50.26,1.8
nleroy,76.99,76.99,93.95,51.96,0
Kalpana,93.19,97.19,92.28,53.3,4
lalapolalaanewb,73.2,73.8,95.41,53.51,0.6
MascotR,85.59,87.79,95.42,54.04,2.2
rusdianlaola,75.4,76.2,96.01,54.63,0.8
jhoneyra,62.2,63.4,96.35,54.71,1.2
AugustRush,58.54,61.34,91.89,55.37,2.8
ButterCutter,58.4,65,88.73,55.79,6.6
divyamjazz,60.19,60.19,95.56,56.38,0
Prashant_batchu,60.8,63.2,89.86,56.7,2.4
north_calm,71.19,71.19,96.76,56.81,0
onydnarre,61.8,62.8,85.83,56.98,1
Komiljon77,58.6,58.6,89.29,57.01,0
yusifoday,65,65,90.76,57.78,0
Mighoi,66.4,66.8,90.21,57.81,0.4
wiebuuu,65.6,65.6,90.79,57.96,0
Koros,59.8,59.8,95.58,58.12,0
NaSwole,77,77.8,93.56,58.65,0.8
SayemYeager,67.38,70.38,92.08,59.2,3
Kemicha,62.8,62.8,93.14,59.32,0
Benny_Cheng,66.8,66.8,97.67,59.51,0
Zag369,84.99,102.79,87.73,59.76,17.8
Yash_Sharma_2607,67.6,67.6,92.66,59.84,0
Dofflamingo,79.6,81,91.93,59.94,1.4
The_TypingTest,80.79,80.79,95.16,60.32,0
idrods,66.4,70,89.56,60.38,3.6
AnujRane,60.99,60.99,91.18,60.47,0
urboiNobu,74.8,74.8,93.83,60.49,0
Typing_Maniac,76.39,78.59,95.35,60.52,2.2
apoorva_13,58.8,58.8,93.08,60.55,0
dheeraj1209,59.79,61.79,94.44,60.56,2
mentaiMayo,80.59,80.59,92.33,60.6,0
AnthonyD.,69.4,69.4,95.41,60.61,0
TMirandaB108,66.99,66.99,92.33,60.68,0
biigod,76.19,77.59,88.36,60.81,1.4
hjhskj,59.99,59.99,96.46,61.04,0
Ner0,77.18,82.38,92.01,61.09,5.2
vikas007c,64.2,70.2,89.39,61.13,6
Little_Bridge,60.8,74,86.38,61.36,13.2
Dipesh_Salvi,58.58,58.58,98,61.37,0
reginaldwilliam,82.98,83.38,91.81,61.67,0.4
Kimmdong,68.98,70.78,94.88,61.69,1.8
abdelnasir12,68,68.8,93.83,61.71,0.8
Rockylikes12,72.38,72.38,93.42,61.76,0
dvorakeliplay,58.8,59.8,93.19,61.78,1
Jay20,70.6,74.6,92.25,61.9,4
ishaan420,58,59,93.93,62.31,1
PXLPRFCT,75.99,81.99,93.18,62.37,6
VishalTambi,76,82.4,90.4,62.41,6.4
SandWhales,73.2,73.2,94.86,62.5,0
Onii-chan.exe,97.6,98.6,89.86,62.53,1
NeonOof2,70.39,79.58,88.81,62.67,9.19
Loowisss,73,73,92.5,62.7,0
someone456123,75.6,75.6,95.76,62.71,0
