rank,name,wpm,raw,accuracy,consistency,diff
1,67e2fb54f65fb0e23ff5e843,130.79,140.58,95.08,80.64,9.79
2,67e0c80df65fb0e23fdb94f1,125.4,134.8,95.44,77.52,9.4
3,67e2faa3f65fb0e23ff5ddc1,123.6,130,96.47,75.68,6.4
4,67dc785cc756633072d33cba,122.98,130.17,96.19,78.3,7.19
5,67e2f991f65fb0e23ff5cd36,121.58,144.58,90.11,78.96,23
6,67c8a90c72da54e6420399b5,121.4,136.2,92.91,78.7,14.8
7,67af00386de0b0fec4542b5d,121.2,129.4,94.16,73.59,8.2
8,67dbcafd796b8342ad2077d4,121.2,140,92.37,77.59,18.8
9,67e26654f65fb0e23fed9438,120.99,140.39,92.95,78.4,19.4
10,67e2f5dcf65fb0e23ff5913f,120.79,135.59,94.01,77.71,14.8
11,67bc36429707b5a8a8d6bcaa,120,125.6,94.41,68.87,5.6
12,67dcf287c756633072d76a03,119.6,133.8,93.82,73.06,14.2
13,67dcefb4c756633072d751e3,119.59,129.98,95.56,75.06,10.39
14,67dc7966c756633072d348d4,119,135.6,92.57,77.12,16.6
15,67e2f63bf65fb0e23ff596dd,118.99,135.79,92.71,77.91,16.8
16,67e2f7adf65fb0e23ff5ada6,118.8,140,90.42,77.58,21.2
17,67e2f74af65fb0e23ff5a7a0,118.79,130.79,94.57,78.37,12
18,67dcb67cc756633072d5690a,118.57,133.17,94.51,78.79,14.6
19,67df7f25c756633072efc9ad,118.38,135.18,92.25,77.74,16.8
20,67df83c4c756633072efea4a,117.8,139,90.31,80.49,21.2
21,67dcf084c756633072d758f0,117.78,133.38,93.16,77.44,15.6
22,67dcb437c756633072d556d5,117.57,125.57,94.84,74.12,8
23,67dc7af6c756633072d35b4d,117.2,125.4,95.58,78.46,8.2
24,67dbf940796b8342ad2263f9,117.2,128.8,92.47,76.82,11.6
25,67e2f8b7f65fb0e23ff5bf1d,116.59,135.19,90.38,77.01,18.6
26,67e2f921f65fb0e23ff5c620,116.36,128.96,92.84,68.5,12.6
27,67b039a66de0b0fec4618d45,116.2,135.2,91.87,77.38,19
28,67e0f021f65fb0e23fdcf2f6,116.17,130.37,93.92,77.67,14.2
29,67dbcd43796b8342ad208fce,116,126,93.91,72.42,10
